fold,seed,teto,epocas,convergiu,tempo_s,mcc_treino,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
1,42,100,100,False,1.0046158999903128,0.45989277793598327,0.40943789404304515,0.6371308016877637,0.647870058228624,0.6267417729024607,0.72,0.7687089731298372,0.645054021839087
1,42,800,144,True,3.6280788999865763,0.4670303693890291,0.4152430213857657,0.6433149500670741,0.6468824940047961,0.6397865401719538,0.7217441860465116,0.766908758038761,0.6418919915514736
1,1337,100,86,True,2.350807700015139,0.4544711925129417,0.4033260139494009,0.63434404082858,0.6424445120097294,0.6264453009190631,0.7167441860465116,0.7660145209447786,0.6393922721648295
1,1337,800,86,True,2.128283000027295,0.4544711925129417,0.4033260139494009,0.63434404082858,0.6424445120097294,0.6264453009190631,0.7167441860465116,0.7660145209447786,0.6393922721648295
1,2024,100,100,False,2.4809955999953672,0.46354497057807775,0.39591543465132156,0.6297297297297297,0.6379677517493155,0.621701749184702,0.7132558139534884,0.7659377796795143,0.6349102937665796
1,2024,800,171,True,4.669017600012012,0.46171286311659604,0.3783536717047971,0.6151736745886655,0.6327170166092134,0.5985769344796916,0.7062790697674418,0.7620741717657826,0.6266761850457683
2,42,100,100,False,5.0784017000114545,0.4551002175817047,0.3492045298535868,0.5813915593938407,0.5849180327868853,0.5779073534175575,0.7012790697674418,0.7405880355476301,0.5808726425108393
2,42,800,107,True,6.323427700001048,0.4544713799773812,0.3437231864633039,0.5779442906010751,0.5812581913499345,0.5746679624230645,0.6987209302325581,0.7398852175595088,0.5823024827678999
2,1337,100,81,True,5.113168200012296,0.4364696371567426,0.3267107578003362,0.5528259749183989,0.5885149963423555,0.5212180110139294,0.6973255813953488,0.734283768183234,0.5796750767426361
2,1337,800,81,True,5.025034099991899,0.4364696371567426,0.3267107578003362,0.5528259749183989,0.5885149963423555,0.5212180110139294,0.6973255813953488,0.734283768183234,0.5796750767426361
2,2024,100,100,False,5.905179599998519,0.45650183057000826,0.35992762635834163,0.5965793190020399,0.5785149117468046,0.615808228053126,0.701046511627907,0.7440679864320462,0.5930632780445674
2,2024,800,148,True,8.69739539999864,0.4655934597992649,0.34796385884534065,0.5875474083438685,0.5735883986423943,0.6022027858762553,0.6965116279069767,0.7397035930798429,0.5869171601241457
3,42,100,72,True,5.219333799992455,0.42367590687824486,0.28218377030081265,0.51131971286582,0.5243488108720272,0.4989224137931034,0.6876470588235294,0.6981356652630648,0.5101056709425342
3,42,800,72,True,4.934580400004052,0.42367590687824486,0.28218377030081265,0.51131971286582,0.5243488108720272,0.4989224137931034,0.6876470588235294,0.6981356652630648,0.5101056709425342
3,1337,100,64,True,4.449882200016873,0.41172887522133256,0.2546817937107661,0.47318611987381703,0.5244755244755245,0.43103448275862066,0.6856470588235294,0.6939281272371163,0.5006105196513787
3,1337,800,64,True,4.552928099990822,0.41172887522133256,0.2546817937107661,0.47318611987381703,0.5244755244755245,0.43103448275862066,0.6856470588235294,0.6939281272371163,0.5006105196513787
3,2024,100,100,False,7.450856500014197,0.40968250056151856,0.255496098160861,0.46796545491062463,0.530751708428246,0.41846264367816094,0.6883529411764706,0.6937815835565422,0.5038929566703985
3,2024,800,111,True,7.6402247000078205,0.42207713585479884,0.27390683270999683,0.4986767485822306,0.5263367916999202,0.4737787356321839,0.688,0.6981278730604957,0.5063244160724735
4,42,100,84,True,3.2861426000017673,0.37909455913844037,0.2439595339715828,0.43934288121314236,0.5515600211528292,0.36506825341267063,0.6868235294117647,0.6988552511091796,0.5181114998825195
4,42,800,84,True,3.261719300004188,0.37909455913844037,0.2439595339715828,0.43934288121314236,0.5515600211528292,0.36506825341267063,0.6868235294117647,0.6988552511091796,0.5181114998825195
4,1337,100,97,True,3.7776645999983884,0.3713440416343596,0.23049205280271162,0.40930232558139534,0.5572979493365501,0.3234161708085404,0.686235294117647,0.6929615220792937,0.5181084565456194
4,1337,800,97,True,5.628215900011128,0.3713440416343596,0.23049205280271162,0.40930232558139534,0.5572979493365501,0.3234161708085404,0.686235294117647,0.6929615220792937,0.5181084565456194
4,2024,100,82,True,8.326957499986747,0.38954480974903266,0.2598921810381752,0.4714768435698668,0.5455381784728611,0.4151207560378019,0.6871764705882353,0.6972968885906637,0.5266551086001937
4,2024,800,82,True,8.83605440001702,0.38954480974903266,0.2598921810381752,0.4714768435698668,0.5455381784728611,0.4151207560378019,0.6871764705882353,0.6972968885906637,0.5266551086001937
