seed,avaliado_em,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
42,D0 (treino),0.3554419606591937,0.541343718098983,0.6524790375501276,0.4625573431543581,0.7165654205607477,0.7662783121709803,0.6278812030890751
42,D1,0.20346608847117686,0.36584295949700246,0.5225563909774437,0.2814398200224972,0.6945774647887324,0.6898907139426639,0.4712565225373713
1337,D0 (treino),0.3632201881071809,0.5621496510071968,0.6384097256448168,0.5021645021645021,0.7171261682242991,0.7642562163030676,0.6270687560876838
1337,D1,0.2185590921062015,0.3941135248773651,0.5226765799256505,0.31631046119235096,0.6955633802816902,0.6815906468892823,0.4742991789233233
2024,D0 (treino),0.3725052201276631,0.5836685576757779,0.623750734861846,0.5484266976804291,0.7170794392523364,0.763121014378634,0.6239827599669144
2024,D1,0.22347881293580543,0.41565379991986107,0.5115055884286653,0.3500562429696288,0.6919014084507042,0.6845486292685992,0.4744070105317773
