seed,config,epoca,mcc_d1b,custo_treino
42,A_lr_baixo,0,0.20167129770476516,
42,A_lr_baixo,1,0.21961459020227045,0.5758360373999626
42,A_lr_baixo,2,0.21750023355535736,0.5697108037409848
42,A_lr_baixo,3,0.21409714401389468,0.5669694804100592
42,A_lr_baixo,4,0.20915492000618705,0.5649688533353648
42,A_lr_baixo,5,0.20378263609272063,0.5634166381717278
42,A_lr_baixo,6,0.2024877820795966,0.5621570810267444
42,A_lr_baixo,7,0.20047144533849579,0.5610829292086443
42,A_lr_baixo,8,0.2024877820795966,0.56017609323955
42,A_lr_baixo,9,0.2087494222240579,0.5593910989925686
42,A_lr_baixo,10,0.2073926950298551,0.5587024389000579
42,A_lr_baixo,11,0.20502314306711766,0.5580450586123107
42,A_lr_baixo,12,0.2033591892669643,0.5574484370962481
42,A_lr_baixo,13,0.20205530393601234,0.5568987528497286
42,A_lr_baixo,14,0.2030654583806992,0.5563965507529011
42,A_lr_baixo,15,0.20443178235326925,0.5559190697582204
42,A_lr_baixo,16,0.20674004734553783,0.5554889019380976
42,A_lr_baixo,17,0.20905185133815002,0.5550975217984285
42,A_lr_baixo,18,0.20905185133815002,0.5547294210480446
42,A_lr_baixo,19,0.20905185133815002,0.5543870615920576
42,A_lr_baixo,20,0.20905185133815002,0.5540557429095722
42,A_lr_baixo,21,0.2087014956119954,0.5537437508458231
42,A_lr_baixo,22,0.20935765889081645,0.553449002533025
42,A_lr_baixo,23,0.2087014956119954,0.5531750128213284
42,A_lr_baixo,24,0.2076949098229002,0.5529238941532311
42,A_lr_baixo,25,0.20835105066742438,0.5526862448483801
42,A_lr_baixo,26,0.20699141886882988,0.5524553222354318
42,A_lr_baixo,27,0.20699141886882988,0.5522331628249535
42,A_lr_baixo,28,0.20865900852435,0.5520224497654146
42,A_lr_baixo,29,0.20865900852435,0.5518188619518535
42,A_lr_baixo,30,0.21199418783539023,0.5516213040851246
42,B_lr_original,0,0.20167129770476516,
42,B_lr_original,1,0.2042126959984794,0.5695190042714502
42,B_lr_original,2,0.20543823146983303,0.5610010515277711
42,B_lr_original,3,0.2083980131608916,0.5577685003923047
42,B_lr_original,4,0.20674004734553783,0.5556258413247793
42,B_lr_original,5,0.20800051546695264,0.5541969722851994
42,B_lr_original,6,0.21171394479159913,0.5529064881139624
42,B_lr_original,7,0.2099795888201541,0.5518028589200543
42,B_lr_original,8,0.21164962058864345,0.5509555419480319
42,B_lr_original,9,0.21130499729134633,0.5502798377003367
42,B_lr_original,10,0.21130499729134633,0.5495638050007225
42,B_lr_original,11,0.21766274225496776,0.5489567590779476
42,B_lr_original,12,0.2156554618317886,0.5484407754317556
42,B_lr_original,13,0.21398420349530997,0.547941874742053
42,B_lr_original,14,0.21196952569153038,0.5475065129298947
42,B_lr_original,15,0.2099795888201541,0.5470803977300738
42,B_lr_original,16,0.21001500446757773,0.5466843546310617
42,B_lr_original,17,0.20865900852435,0.5462922773972388
42,B_lr_original,18,0.20800051546695264,0.5459096403633052
42,B_lr_original,19,0.20800051546695264,0.5455118168743646
42,B_lr_original,20,0.20633414138897277,0.5451175820378071
42,B_lr_original,21,0.20140510804303421,0.544750203837532
42,B_lr_original,22,0.20679826186190872,0.5444360589693057
42,B_lr_original,23,0.20414102098019796,0.5441765433055458
42,B_lr_original,24,0.20414102098019796,0.5439230430043154
42,B_lr_original,25,0.20608856119667543,0.5435745868266532
42,B_lr_original,26,0.2087494222240579,0.5433038515177377
42,B_lr_original,27,0.20804650939369418,0.5430915043816951
42,B_lr_original,28,0.20715294261051453,0.5427942723981544
42,B_lr_original,29,0.20514619600173262,0.5424706017140234
42,B_lr_original,30,0.207801064367733,0.542255242930124
42,C_lr_baixo_reg_forte,0,0.20167129770476516,
42,C_lr_baixo_reg_forte,1,0.2200176048058071,0.92286160576528
42,C_lr_baixo_reg_forte,2,0.2152281381756826,0.9094360044912123
42,C_lr_baixo_reg_forte,3,0.21105889772689393,0.899313109524274
42,C_lr_baixo_reg_forte,4,0.20133501915503318,0.8901280652978423
42,C_lr_baixo_reg_forte,5,0.19494930290374998,0.8815687372405735
42,C_lr_baixo_reg_forte,6,0.18880876934640553,0.8734955529711365
42,C_lr_baixo_reg_forte,7,0.19104603499084027,0.8657905045338027
42,C_lr_baixo_reg_forte,8,0.19573567157741242,0.8584244468873149
42,C_lr_baixo_reg_forte,9,0.19265018809121545,0.8513347765045981
42,C_lr_baixo_reg_forte,10,0.18946821172961667,0.8444740141970967
42,C_lr_baixo_reg_forte,11,0.19013320911830794,0.8378151947713591
42,C_lr_baixo_reg_forte,12,0.19139893894725968,0.8313594478795775
42,C_lr_baixo_reg_forte,13,0.18797382918939012,0.8251066770002086
42,C_lr_baixo_reg_forte,14,0.18931489710216207,0.8190391470350518
42,C_lr_baixo_reg_forte,15,0.18789753739027604,0.8131416198473322
42,C_lr_baixo_reg_forte,16,0.18992257572859547,0.8074074122825404
42,C_lr_baixo_reg_forte,17,0.19091221632684666,0.8018238483754057
42,C_lr_baixo_reg_forte,18,0.19227692230781077,0.7963805994787536
42,C_lr_baixo_reg_forte,19,0.19191230001265808,0.7910878323369056
42,C_lr_baixo_reg_forte,20,0.19223456171092554,0.7859308532682812
42,C_lr_baixo_reg_forte,21,0.1880172307469509,0.7808959406268663
42,C_lr_baixo_reg_forte,22,0.1882930231432507,0.775983871886933
42,C_lr_baixo_reg_forte,23,0.1893544740373845,0.7711895405029803
42,C_lr_baixo_reg_forte,24,0.1904143798942544,0.766520362262337
42,C_lr_baixo_reg_forte,25,0.1893544740373845,0.7619611647526383
42,C_lr_baixo_reg_forte,26,0.19322502071326841,0.757516833915676
42,C_lr_baixo_reg_forte,27,0.19180651714008737,0.753175033217673
42,C_lr_baixo_reg_forte,28,0.193204475317606,0.7489398594093215
42,C_lr_baixo_reg_forte,29,0.19532001113692404,0.7448015096534121
42,C_lr_baixo_reg_forte,30,0.1946083131742883,0.7407566506692839
1337,A_lr_baixo,0,0.1851799306784146,
1337,A_lr_baixo,1,0.19596822681132306,0.5774989491529792
1337,A_lr_baixo,2,0.19347129665164975,0.5717980708389584
1337,A_lr_baixo,3,0.19281688175151748,0.5693543858456761
1337,A_lr_baixo,4,0.1938411102025162,0.5675220033848718
1337,A_lr_baixo,5,0.19625259988519542,0.5660007788823744
1337,A_lr_baixo,6,0.19580811874369694,0.5646980883895307
1337,A_lr_baixo,7,0.18964203155319206,0.5635645497901012
1337,A_lr_baixo,8,0.19133085761612184,0.5625663625818313
1337,A_lr_baixo,9,0.1936800173006037,0.5616699226376153
1337,A_lr_baixo,10,0.19360714467392148,0.5608708772965593
1337,A_lr_baixo,11,0.18880447703836853,0.5601450554335329
1337,A_lr_baixo,12,0.1890949783521204,0.5594906197610372
1337,A_lr_baixo,13,0.18976118644699616,0.5588977356162371
1337,A_lr_baixo,14,0.19347734515700937,0.5583372260778642
1337,A_lr_baixo,15,0.19347734515700937,0.5578120598643235
1337,A_lr_baixo,16,0.19549936412173316,0.5573036541238099
1337,A_lr_baixo,17,0.19446072197582778,0.5568284634185904
1337,A_lr_baixo,18,0.194097215228434,0.556371432970499
1337,A_lr_baixo,19,0.19446072197582778,0.5559274551200099
1337,A_lr_baixo,20,0.19378545135467742,0.5555148780681927
1337,A_lr_baixo,21,0.19170402900109787,0.5551379628733201
1337,A_lr_baixo,22,0.19446072197582778,0.5547828784029409
1337,A_lr_baixo,23,0.19373352678629746,0.5544491090472015
1337,A_lr_baixo,24,0.19029199246459313,0.5541231977803367
1337,A_lr_baixo,25,0.19029199246459313,0.5538115087905807
1337,A_lr_baixo,26,0.191336312495407,0.5535155253740689
1337,A_lr_baixo,27,0.19096838714016914,0.5532306252729524
1337,A_lr_baixo,28,0.19096838714016914,0.5529595416866924
1337,A_lr_baixo,29,0.19096838714016914,0.5526929145230388
1337,A_lr_baixo,30,0.19029199246459313,0.5524323719793657
1337,B_lr_original,0,0.1851799306784146,
1337,B_lr_original,1,0.20188235809609426,0.5718399102248899
1337,B_lr_original,2,0.19429951168565288,0.5615988985610992
1337,B_lr_original,3,0.18875285687346724,0.5577347569120473
1337,B_lr_original,4,0.19192966912032391,0.5552757189040902
1337,B_lr_original,5,0.19039910891397602,0.5534316567132536
1337,B_lr_original,6,0.19283433044942602,0.552007640147461
1337,B_lr_original,7,0.19476370669237428,0.5509214465316921
1337,B_lr_original,8,0.19540911226002927,0.5498715516568106
1337,B_lr_original,9,0.19808440736770425,0.5491571161613348
1337,B_lr_original,10,0.2014802222795136,0.5484113925901444
1337,B_lr_original,11,0.20220375231002705,0.5477410072512179
1337,B_lr_original,12,0.20284837557277094,0.5471348052295035
1337,B_lr_original,13,0.20284837557277094,0.5465685626900121
1337,B_lr_original,14,0.20055402220986457,0.5461164217070217
1337,B_lr_original,15,0.19909517791814235,0.545608973915223
1337,B_lr_original,16,0.20328790882396336,0.5451908907363135
1337,B_lr_original,17,0.2007334318324044,0.5447726759745842
1337,B_lr_original,18,0.19772265516183762,0.5444310776179753
1337,B_lr_original,19,0.2017346698929411,0.5441035156838303
1337,B_lr_original,20,0.19793523959478,0.543756029351174
1337,B_lr_original,21,0.19404711724290985,0.5433426002381315
1337,B_lr_original,22,0.18877664558628426,0.5430752471859365
1337,B_lr_original,23,0.19429951168565288,0.5428268844950557
1337,B_lr_original,24,0.19241780794038887,0.5425134369410375
1337,B_lr_original,25,0.1934208758467464,0.5422920984470727
1337,B_lr_original,26,0.19241780794038887,0.5419853763009814
1337,B_lr_original,27,0.19304399110463566,0.5417110464961695
1337,B_lr_original,28,0.19379752883543422,0.5414528510728766
1337,B_lr_original,29,0.19442278369405544,0.5411492165345761
1337,B_lr_original,30,0.19304399110463566,0.5409540741623621
1337,C_lr_baixo_reg_forte,0,0.1851799306784146,
1337,C_lr_baixo_reg_forte,1,0.19642405703003926,0.8870115863605545
1337,C_lr_baixo_reg_forte,2,0.19263060905076232,0.8750479734697313
1337,C_lr_baixo_reg_forte,3,0.18870685408515536,0.8662809935409447
1337,C_lr_baixo_reg_forte,4,0.19170269814039914,0.85822851963381
1337,C_lr_baixo_reg_forte,5,0.19301968367905165,0.8506290231933954
1337,C_lr_baixo_reg_forte,6,0.19220552541658473,0.8434033796225539
1337,C_lr_baixo_reg_forte,7,0.1931728449876714,0.836464229423349
1337,C_lr_baixo_reg_forte,8,0.1931728449876714,0.8297480597366611
1337,C_lr_baixo_reg_forte,9,0.19207153858762166,0.8232860041673997
1337,C_lr_baixo_reg_forte,10,0.191336312495407,0.8170830472281538
1337,C_lr_baixo_reg_forte,11,0.19127926820422864,0.8110745068317359
1337,C_lr_baixo_reg_forte,12,0.1915938875292732,0.8052565567326541
1337,C_lr_baixo_reg_forte,13,0.19049545075633723,0.7996175818231882
1337,C_lr_baixo_reg_forte,14,0.1928908629631669,0.7941482963992977
1337,C_lr_baixo_reg_forte,15,0.1935632641385057,0.788840749469782
1337,C_lr_baixo_reg_forte,16,0.19532001113692404,0.7836755767722763
1337,C_lr_baixo_reg_forte,17,0.197779510391802,0.7786547452225762
1337,C_lr_baixo_reg_forte,18,0.19742818855977284,0.7737634283359275
1337,C_lr_baixo_reg_forte,19,0.19813387931823895,0.7690103196068502
1337,C_lr_baixo_reg_forte,20,0.19707676030576157,0.7643722058227658
1337,C_lr_baixo_reg_forte,21,0.19814402436663645,0.7598480086658691
1337,C_lr_baixo_reg_forte,22,0.1953117240601474,0.7554405007204955
1337,C_lr_baixo_reg_forte,23,0.19247474353297342,0.7511364874346169
1337,C_lr_baixo_reg_forte,24,0.19247474353297342,0.7469245727855097
1337,C_lr_baixo_reg_forte,25,0.1946031387575589,0.7428178189647567
1337,C_lr_baixo_reg_forte,26,0.19424828657127136,0.7388106844375413
1337,C_lr_baixo_reg_forte,27,0.19424828657127136,0.7349006779132986
1337,C_lr_baixo_reg_forte,28,0.1921129899714189,0.7310896177437212
1337,C_lr_baixo_reg_forte,29,0.1921129899714189,0.7273849051597491
1337,C_lr_baixo_reg_forte,30,0.1906826856595181,0.7237748691578053
2024,A_lr_baixo,0,0.1906812936349076,
2024,A_lr_baixo,1,0.19835949584178952,0.579270989472247
2024,A_lr_baixo,2,0.19853793256102828,0.5731934974160993
2024,A_lr_baixo,3,0.20104391355123521,0.5703826785016987
2024,A_lr_baixo,4,0.20104391355123521,0.5684273326480656
2024,A_lr_baixo,5,0.20270666261915146,0.5669066562623724
2024,A_lr_baixo,6,0.2043694116870677,0.5656556521501542
2024,A_lr_baixo,7,0.20734321334824593,0.564576280596711
2024,A_lr_baixo,8,0.20966688954493248,0.5636057296025546
2024,A_lr_baixo,9,0.21400386187437717,0.5627386626037189
2024,A_lr_baixo,10,0.2129996377008922,0.5619604815145054
2024,A_lr_baixo,11,0.21067353761131155,0.5612580207788154
2024,A_lr_baixo,12,0.2099795888201541,0.5605916827002564
2024,A_lr_baixo,13,0.20830955705166476,0.5599773033649644
2024,A_lr_baixo,14,0.20729917014939542,0.5594046755964099
2024,A_lr_baixo,15,0.21032659817987012,0.5588696859060512
2024,A_lr_baixo,16,0.20966688954493248,0.5583700747363181
2024,A_lr_baixo,17,0.20966688954493248,0.5579004680975441
2024,A_lr_baixo,18,0.21067353761131155,0.5574592429824395
2024,A_lr_baixo,19,0.21064168682235268,0.5570374104587559
2024,A_lr_baixo,20,0.2123129451588313,0.556639029898889
2024,A_lr_baixo,21,0.2123129451588313,0.5562643955797791
2024,A_lr_baixo,22,0.21164962058864345,0.5559107568481478
2024,A_lr_baixo,23,0.21064168682235268,0.5555763722887087
2024,A_lr_baixo,24,0.20830955705166476,0.5552631366680705
2024,A_lr_baixo,25,0.21032659817987012,0.5549607915314596
2024,A_lr_baixo,26,0.21366177749091034,0.5546682370444813
2024,A_lr_baixo,27,0.2133196523571328,0.5543843416340637
2024,A_lr_baixo,28,0.21297748589202978,0.5541073058322817
2024,A_lr_baixo,29,0.21096031723677386,0.5538378387097292
2024,A_lr_baixo,30,0.21064168682235268,0.5535803661576051
2024,B_lr_original,0,0.1906812936349076,
2024,B_lr_original,1,0.220456464664052,0.5725525560667367
2024,B_lr_original,2,0.21616768433974423,0.5625045052663827
2024,B_lr_original,3,0.22891071382174655,0.5584588687940926
2024,B_lr_original,4,0.2243218187340788,0.5558638924016603
2024,B_lr_original,5,0.22167789768364268,0.5538629592499067
2024,B_lr_original,6,0.217080886277377,0.5522970933030541
2024,B_lr_original,7,0.22070591988938099,0.5510911989181755
2024,B_lr_original,8,0.2148316661124057,0.5499648550444495
2024,B_lr_original,9,0.21745872502586153,0.5489559000937537
2024,B_lr_original,10,0.2181441172192396,0.5480118613176752
2024,B_lr_original,11,0.21493562832852,0.5472220313172027
2024,B_lr_original,12,0.21330962067520573,0.5465499973136623
2024,B_lr_original,13,0.21104735954954054,0.5459552656069555
2024,B_lr_original,14,0.20391688561419355,0.5453601712130081
2024,B_lr_original,15,0.19716901354328675,0.5448296751205737
2024,B_lr_original,16,0.19417395240900825,0.5443091152848056
2024,B_lr_original,17,0.19542353648874852,0.5438392754695566
2024,B_lr_original,18,0.19355071182647102,0.5433637477081535
2024,B_lr_original,19,0.19779344718042358,0.5429074048445574
2024,B_lr_original,20,0.19179267024075214,0.5425662853805664
2024,B_lr_original,21,0.1923073118394797,0.542135600046018
2024,B_lr_original,22,0.18868250943673054,0.5417665586268932
2024,B_lr_original,23,0.19068674460487733,0.5414101983359811
2024,B_lr_original,24,0.19006765542883614,0.5410407771117255
2024,B_lr_original,25,0.18906617737027498,0.5407842817411624
2024,B_lr_original,26,0.19068674460487733,0.5405613742562735
2024,B_lr_original,27,0.1923073118394797,0.5402819803397486
2024,B_lr_original,28,0.19168714381372018,0.5399749298560581
2024,B_lr_original,29,0.19443963090047212,0.5397783420081721
2024,B_lr_original,30,0.1999004304065688,0.5395835931119047
2024,C_lr_baixo_reg_forte,0,0.1906812936349076,
2024,C_lr_baixo_reg_forte,1,0.20064138410438148,0.9039593401192305
2024,C_lr_baixo_reg_forte,2,0.19283433044942602,0.89136278023364
2024,C_lr_baixo_reg_forte,3,0.19828936644072867,0.88188706634051
2024,C_lr_baixo_reg_forte,4,0.20097465345216414,0.8733513142202454
2024,C_lr_baixo_reg_forte,5,0.1991705294374316,0.865350624118609
2024,C_lr_baixo_reg_forte,6,0.20182031972410214,0.8577638121917458
2024,C_lr_baixo_reg_forte,7,0.20110717615492113,0.8505049848575159
2024,C_lr_baixo_reg_forte,8,0.2024858563917729,0.8435147030851965
2024,C_lr_baixo_reg_forte,9,0.20516053063092843,0.8367671920121131
2024,C_lr_baixo_reg_forte,10,0.20413837500382906,0.8302564840630046
2024,C_lr_baixo_reg_forte,11,0.2007081463621252,0.8239493532468098
2024,C_lr_baixo_reg_forte,12,0.20134847881362947,0.8178238031278076
2024,C_lr_baixo_reg_forte,13,0.19996171334193358,0.8118769879069339
2024,C_lr_baixo_reg_forte,14,0.20096926454808745,0.8061119686250455
2024,C_lr_baixo_reg_forte,15,0.19957914301945595,0.8004973238194338
2024,C_lr_baixo_reg_forte,16,0.19851608355307235,0.7950289903328552
2024,C_lr_baixo_reg_forte,17,0.19885153666967148,0.7897025129802836
2024,C_lr_baixo_reg_forte,18,0.19814469499354173,0.7845129871184867
2024,C_lr_baixo_reg_forte,19,0.20127800484693034,0.7794564934090344
2024,C_lr_baixo_reg_forte,20,0.2019765307977678,0.7745466663703622
2024,C_lr_baixo_reg_forte,21,0.20478512169155672,0.7697459814816173
2024,C_lr_baixo_reg_forte,22,0.2037386549062841,0.7650662113493634
2024,C_lr_baixo_reg_forte,23,0.20271198802561402,0.7605022390824754
2024,C_lr_baixo_reg_forte,24,0.20165944546218956,0.7560526888732629
2024,C_lr_baixo_reg_forte,25,0.19991446717117523,0.7517108660083427
2024,C_lr_baixo_reg_forte,26,0.1985085642475343,0.7474728810687685
2024,C_lr_baixo_reg_forte,27,0.1946137212985266,0.7433246804506556
2024,C_lr_baixo_reg_forte,28,0.18960777739941218,0.7392786745085735
2024,C_lr_baixo_reg_forte,29,0.18996476988901995,0.7353382954387119
2024,C_lr_baixo_reg_forte,30,0.19104141757735119,0.7314910306359813
