modelo,execucoes,mcc_media,mcc_desvio,f1_media,f1_desvio,precision_media,precision_desvio,recall_media,recall_desvio,pr_auc_media,pr_auc_desvio,roc_auc_media,roc_auc_desvio,accuracy_media,accuracy_desvio,delta_mcc_vs_m0,delta_mcc_relativo
GB,3,0.19784265352647765,0.0,0.4556906561507284,6.798699777552591e-17,0.4561403508771929,6.798699777552591e-17,0.4552418472313417,6.798699777552591e-17,0.4657404391984559,6.798699777552591e-17,0.6611053930753947,0.0,0.6500704225352113,0.0,0.035556498547602705,0.21909754749091906
LR,1,0.13087799593710986,,0.39445086705202315,,0.418034795393286,,0.3733858612387831,,0.399458864039823,,0.5871802699747629,,0.6311267605633802,,-0.03140815904176508,-0.19353566572486441
M0,3,0.16228615497887494,0.0021017577920983605,0.3469868704413072,0.012093376001328723,0.4837006334483617,0.010290686780596093,0.271029401035967,0.018278063934808936,0.4377149567496012,0.005699890287994774,0.6359881987196675,0.007152860769968062,0.6721361502347417,0.004376030121213528,0.0,0.0
MFT,3,0.16812650797268094,0.006941857967833368,0.33084256732467193,0.022621535042336233,0.5033490389095934,0.006062394029478716,0.24717297731086307,0.02698837988295101,0.45734035847653604,0.0016446061085011,0.6617675216889372,0.0002733618950091056,0.6791549295774648,0.0019298858600063067,0.005840352993806003,0.03598799290405427
MREC,3,0.17154028929659162,0.005258442299408328,0.3344531224691775,0.013461659225775876,0.5064000985769721,0.011178951389667105,0.25009119428029475,0.01703552116266963,0.4690126590859159,0.0052046293840202025,0.6715944453795859,0.001117810322549323,0.6800938967136151,0.003571702505057323,0.009254134317716683,0.05702356013623781
MRT,3,0.1789001491203216,0.006408792175939027,0.36545125007175194,0.010631730081855353,0.49577596290714093,0.016085083390891698,0.2900707667615087,0.019260646513244387,0.45775715317617477,0.006055095284232174,0.6581089711636091,0.003488836192699222,0.6762441314553991,0.006577756324529978,0.016613994141446653,0.1023746858973233
