modelo,seed,epoca,perda
M0,42,1,0.5944507605120797
M0,42,2,0.5779121508264119
M0,42,3,0.5734536498691721
M0,42,4,0.5715485711251119
M0,42,5,0.5697907164689444
M0,42,6,0.5687710973647877
M0,42,7,0.568197712027034
M0,42,8,0.5668351498351918
M0,42,9,0.5657118267008835
M0,42,10,0.564579115554686
M0,42,11,0.5643722779510483
M0,42,12,0.5641189619607743
M0,42,13,0.5634051623367909
M0,42,14,0.5627599357278436
M0,42,15,0.5627033183662287
M0,42,16,0.5620517465045991
M0,42,17,0.5619349539102553
M0,42,18,0.5607380985957425
M0,42,19,0.5614459745161958
M0,42,20,0.5607673896051117
M0,42,21,0.5609448135900328
M0,42,22,0.5601687969796548
M0,42,23,0.5602121666626427
M0,42,24,0.5601982518019809
M0,42,25,0.5603753939635961
M0,42,26,0.5590642352603608
M0,42,27,0.5590473316847914
M0,42,28,0.5581488525453296
M0,42,29,0.5582261788028985
M0,42,30,0.5579324602876089
M0,42,31,0.5578879989859283
M0,42,32,0.5577809456835725
M0,42,33,0.5574145026583692
M0,42,34,0.5581347501952273
M0,42,35,0.5570261988670913
M0,42,36,0.5569216202060375
M0,42,37,0.5571139887870281
M0,42,38,0.5570989158921261
M0,42,39,0.5571930139345314
M0,42,40,0.557301010325011
M0,42,41,0.556305672909598
M0,42,42,0.5563535917945938
M0,42,43,0.5564529663012436
M0,42,44,0.5563626975263825
M0,42,45,0.5562758248023911
M0,42,46,0.5557371686312808
M0,42,47,0.5560206782385013
M0,42,48,0.55604833408271
M0,42,49,0.5557387602028029
M0,42,50,0.5558851168525422
M0,42,51,0.5567784332452526
M0,42,52,0.5556353947466852
M0,42,53,0.5556827654911931
M0,42,54,0.5551801605716333
M0,42,55,0.5555613586848731
M0,42,56,0.5560014981539472
M0,42,57,0.5554217338038782
M0,42,58,0.5547698817390709
M0,42,59,0.5552718338038724
M0,42,60,0.5553174822977921
M0,42,61,0.5549640146264831
M0,42,62,0.555107176429433
M0,42,63,0.5544464377070145
M0,42,64,0.5555353261563957
M0,42,65,0.5549863067982397
M0,42,66,0.5547119779998251
M0,42,67,0.5548613637438268
M0,42,68,0.5550018560923955
M0,42,69,0.5555752091684877
M0,42,70,0.5542175343354767
M0,42,71,0.5548017472414741
M0,42,72,0.554402862028916
M0,42,73,0.5540737468668804
M0,42,74,0.5541599583423139
M0,42,75,0.5543473624195215
M0,42,76,0.5543189898015607
M0,42,77,0.5539557503676035
M0,42,78,0.5541903598872359
M0,42,79,0.5549987744593791
M0,42,80,0.5537605069833342
M0,42,81,0.5548043846111742
M0,42,82,0.5539552222887606
M0,42,83,0.5536006243735166
M0,42,84,0.5543764795453083
M0,42,85,0.553428333287231
M0,42,86,0.5535708990667351
M0,42,87,0.5538024900154546
M0,42,88,0.5542640870873529
M0,42,89,0.5537884653773693
M0,42,90,0.5536417952807371
M0,42,91,0.5536248219984606
M0,42,92,0.554176540312607
M0,42,93,0.553049661695003
M0,42,94,0.5535516560300108
M0,42,95,0.5539919772659841
M0,42,96,0.5537818394281621
M0,42,97,0.5529578999846928
M0,42,98,0.5540237339520069
M0,42,99,0.5530758171607902
M0,42,100,0.55274053245193
M0,42,101,0.5531951774241886
M0,42,102,0.5530847952572564
M0,42,103,0.5533040884185843
M0,42,104,0.5532334811810677
M0,42,105,0.5533244572835053
M0,42,106,0.5538376099238734
M0,42,107,0.5528793203767981
M0,42,108,0.5527209310818475
M0,42,109,0.5530783489676031
M0,42,110,0.5530554634662244
M0,42,111,0.5528766639304973
MRT,42,1,0.593421924896475
MRT,42,2,0.5789876761928373
MRT,42,3,0.575374979465945
MRT,42,4,0.5731318749058444
MRT,42,5,0.5715628619112589
MRT,42,6,0.5708126001902668
MRT,42,7,0.5697665618963964
MRT,42,8,0.5687325396225067
MRT,42,9,0.568408021321076
MRT,42,10,0.5676170507364261
MRT,42,11,0.5671914774201625
MRT,42,12,0.5672071135367897
MRT,42,13,0.5660915550018422
MRT,42,14,0.5654192966174443
MRT,42,15,0.5654969245049734
MRT,42,16,0.565227937572276
MRT,42,17,0.565113630588001
MRT,42,18,0.5647525650283151
MRT,42,19,0.5643768669440594
MRT,42,20,0.5636238672481472
MRT,42,21,0.5637362770332612
MRT,42,22,0.5629631439207257
MRT,42,23,0.5635777689010564
MRT,42,24,0.5626741030989506
MRT,42,25,0.5629708883839319
MRT,42,26,0.5624185323764946
MRT,42,27,0.5627177251845656
MRT,42,28,0.5620919319342856
MRT,42,29,0.5619218300924482
MRT,42,30,0.5615066199300226
MRT,42,31,0.5611360794471745
MRT,42,32,0.5610073271078291
MRT,42,33,0.5615786005986153
MRT,42,34,0.5607346179184981
MRT,42,35,0.5606081640555729
MRT,42,36,0.5602424998296404
MRT,42,37,0.5603290523925661
MRT,42,38,0.5597329149971144
MRT,42,39,0.5604336249945597
MRT,42,40,0.5603055981096764
MRT,42,41,0.560380384448011
MRT,42,42,0.5596076763304293
MRT,42,43,0.559767662453674
MRT,42,44,0.5602499813825124
MRT,42,45,0.5604236833576086
MRT,42,46,0.5596186731293474
MRT,42,47,0.5599420940550062
MRT,42,48,0.5592953299219509
MRT,42,49,0.5596523577890244
MRT,42,50,0.5599779463913468
MRT,42,51,0.559893039109819
MRT,42,52,0.5597017207410127
MRT,42,53,0.5597984360481274
MRT,42,54,0.5586678837042579
MRT,42,55,0.5588903733081364
MRT,42,56,0.5589410032385297
MRT,42,57,0.5593721692192855
MRT,42,58,0.5588898533827905
MRT,42,59,0.559007271355897
MRT,42,60,0.5587475914814972
MRT,42,61,0.558657198629144
MRT,42,62,0.5591476495159466
MRT,42,63,0.5586385809095039
MRT,42,64,0.5593864708854156
MRT,42,65,0.5584910184729226
MRT,42,66,0.5583983469431264
MRT,42,67,0.558462645410065
MRT,42,68,0.5582553364710112
MRT,42,69,0.5578953691795149
MRT,42,70,0.558129404078063
MRT,42,71,0.5580507391450231
MRT,42,72,0.5584445701223779
MRT,42,73,0.558179235791219
MRT,42,74,0.5583237715031897
MRT,42,75,0.5582984148457043
MRT,42,76,0.5585291089952471
MRT,42,77,0.5580602909733329
MRT,42,78,0.5581168412457752
MRT,42,79,0.5581001341597973
MRT,42,80,0.5580004139672381
MREC,42,1,0.5957561196231296
MREC,42,2,0.5766105025295892
MREC,42,3,0.5711893608886077
MREC,42,4,0.5682484419545318
MREC,42,5,0.5661253804890141
MREC,42,6,0.5653650319540987
MREC,42,7,0.5643878304690363
MREC,42,8,0.5628154887094262
MREC,42,9,0.5608290696833717
MREC,42,10,0.559521957734878
MREC,42,11,0.5584256716366588
MREC,42,12,0.5583268129087364
MREC,42,13,0.5583799841238976
MREC,42,14,0.5569631129885828
MREC,42,15,0.5560230899738873
MREC,42,16,0.5555231921816642
MREC,42,17,0.5551911817495574
MREC,42,18,0.5544093706029731
MREC,42,19,0.5549470554342399
MREC,42,20,0.5536218471101164
MREC,42,21,0.5528420502488837
MREC,42,22,0.552675814209174
MREC,42,23,0.5525141763506642
MREC,42,24,0.5519995124021092
MREC,42,25,0.5512696019213011
MREC,42,26,0.5511624040646446
MREC,42,27,0.5514104510975703
MREC,42,28,0.5510210009570633
MREC,42,29,0.5502634306669637
MREC,42,30,0.5499672682479202
MREC,42,31,0.5495654331153383
MREC,42,32,0.549769771719417
MREC,42,33,0.5490791116564187
MREC,42,34,0.5484846167491723
MREC,42,35,0.547462313289274
MREC,42,36,0.5490009779410597
MREC,42,37,0.5473354326121761
MREC,42,38,0.5475183683169175
MREC,42,39,0.5479880279404898
MREC,42,40,0.547233037156624
MREC,42,41,0.5464264460023389
MREC,42,42,0.5465531608637694
MREC,42,43,0.5464568830895291
MREC,42,44,0.5457863058171637
MREC,42,45,0.5472147325586804
MREC,42,46,0.5457253355480393
MREC,42,47,0.5448963199680619
MREC,42,48,0.5463369620181233
MREC,42,49,0.545359952945442
MREC,42,50,0.5453898622663971
MREC,42,51,0.5459509073398563
MREC,42,52,0.5448873123357068
MREC,42,53,0.5454452418359349
MREC,42,54,0.5454817755130957
MREC,42,55,0.5445112610738793
MREC,42,56,0.5440806898723479
MREC,42,57,0.5443110905950396
MREC,42,58,0.5442124002087946
MREC,42,59,0.543452917625769
MREC,42,60,0.5437798925345224
MREC,42,61,0.5440106122817299
MREC,42,62,0.5444153282250622
MREC,42,63,0.5439672933300018
MREC,42,64,0.543940948548091
MREC,42,65,0.5433389754888253
MREC,42,66,0.5413344352653211
MREC,42,67,0.5426795419626252
MREC,42,68,0.5428448562373734
MREC,42,69,0.5420970160102888
MREC,42,70,0.5421049069391303
MREC,42,71,0.5437652209709467
MREC,42,72,0.5429567935406043
MREC,42,73,0.542057715625794
MREC,42,74,0.5408402526677025
MREC,42,75,0.5418720133040571
MREC,42,76,0.5411030303553916
MREC,42,77,0.5412133055930043
MREC,42,78,0.5421342689164506
MREC,42,79,0.540677889947286
MREC,42,80,0.5406966624865831
MREC,42,81,0.5404190948512565
MREC,42,82,0.5403117597330189
MREC,42,83,0.5410678600181644
MREC,42,84,0.5408907294538784
MREC,42,85,0.5410424472922079
MREC,42,86,0.5409612421501551
MREC,42,87,0.5398189740521494
MREC,42,88,0.5416364861723324
MREC,42,89,0.5413395734879913
MREC,42,90,0.5396967767095807
MREC,42,91,0.5398215141580885
MREC,42,92,0.5404247598529525
MREC,42,93,0.5397599932271456
MREC,42,94,0.539160762598205
MREC,42,95,0.5388481211172528
MREC,42,96,0.5382214270142655
MREC,42,97,0.5391180292839673
MREC,42,98,0.5388968015354696
MREC,42,99,0.5391038210748932
MREC,42,100,0.5393052891145821
MREC,42,101,0.5383186423608083
MREC,42,102,0.5383700360883982
MREC,42,103,0.5389956998850768
MREC,42,104,0.5391411573708851
MREC,42,105,0.5379335403700597
MREC,42,106,0.5374677258419616
MREC,42,107,0.5385012123972402
MREC,42,108,0.5382873917796145
MREC,42,109,0.5387058107864608
MREC,42,110,0.5381491785998106
MREC,42,111,0.5383061653248588
MREC,42,112,0.5370330248223847
MREC,42,113,0.5377843705080467
MREC,42,114,0.5377617253160771
MREC,42,115,0.5395798816147299
MREC,42,116,0.5379437143911177
MREC,42,117,0.5373759839910945
MREC,42,118,0.537329450181383
MREC,42,119,0.5378577733804651
MREC,42,120,0.5366145506345837
MREC,42,121,0.5367027098710905
MREC,42,122,0.5375841136018028
MREC,42,123,0.5368771952804846
MREC,42,124,0.5368903182257287
MREC,42,125,0.5372460613226557
MREC,42,126,0.5370869226594742
MREC,42,127,0.5374481013858531
MREC,42,128,0.5384321428247436
MREC,42,129,0.537019660860842
MREC,42,130,0.5372178877192381
MREC,42,131,0.5361222498207708
MREC,42,132,0.5357821489498666
MREC,42,133,0.53532826905519
MREC,42,134,0.5366145453006431
MREC,42,135,0.5358841755769213
MREC,42,136,0.536135078394813
MREC,42,137,0.5365911369049337
MREC,42,138,0.53627576185941
MREC,42,139,0.5363480561842096
MREC,42,140,0.5359982975839676
MREC,42,141,0.535755114679774
MREC,42,142,0.5363704397974474
MREC,42,143,0.5356504220538172
MREC,42,144,0.5354333444227163
MFT,42,1,0.5944507605120797
MFT,42,2,0.5779121508264119
MFT,42,3,0.5734536498691721
MFT,42,4,0.5715485711251119
MFT,42,5,0.5697907164689444
MFT,42,6,0.5687710973647877
MFT,42,7,0.568197712027034
MFT,42,8,0.5668351498351918
MFT,42,9,0.5657118267008835
MFT,42,10,0.564579115554686
MFT,42,11,0.5643722779510483
MFT,42,12,0.5641189619607743
MFT,42,13,0.5634051623367909
MFT,42,14,0.5627599357278436
MFT,42,15,0.5627033183662287
MFT,42,16,0.5620517465045991
MFT,42,17,0.5619349539102553
MFT,42,18,0.5607380985957425
MFT,42,19,0.5614459745161958
