modelo,atributo,importancia_media,desvio_seeds
M0,album_presente,0.01571555394683688,0.007371362145487607
M0,album_rank,0.04410841454878933,0.014522108993821609
M0,digital_presente,0.0033998494521835267,0.001200038091499503
M0,digital_rank,0.011395702016948001,0.002414575318946398
M0,distancia_pico,0.018170630047802405,0.004343861223306571
M0,estreia,0.03733552608554939,0.022769842060662
M0,hiato_semanas,0.0012892254821312557,0.001804805625303063
M0,mes,0.011468532370221178,0.0019067665021317735
M0,peak_pos,0.03307114599922765,0.009603731943973322
M0,radio_presente,0.012014892213302921,0.008842868058742065
M0,radio_rank,0.026766324014877066,0.005545373259076237
M0,rank,0.03004167086656923,0.010824150143999667
M0,rank_lag1,0.022086289039205242,0.005058209086493689
M0,rank_lag2,0.03480205444284221,0.0009973349815161387
M0,reentrada,0.009906912852703075,0.0029105368279253394
M0,semana_ano,0.022299843936155764,0.003120514262312684
M0,semanas_na_parada,0.022971516433098846,0.0009684664686921818
M0,streaming_presente,0.0008411691365895001,0.006665747187062972
M0,streaming_rank,0.012316701557608374,0.003363678046024033
M0,variacao_1s,0.04762925420801988,0.00660230289251666
MFT,album_presente,0.013733253802367581,0.011729450642047631
MFT,album_rank,0.031481558347778084,0.0178053627459909
MFT,digital_presente,0.00532568530122893,0.0014813155635783198
MFT,digital_rank,0.008146389376370317,0.0017212936919674857
MFT,distancia_pico,0.01659107674018273,0.0018186654090281854
MFT,estreia,0.029275112303864103,0.010169532327652034
MFT,hiato_semanas,0.001841481845372712,0.0008112010738458992
MFT,mes,0.013683723641154735,0.0043021285425086896
MFT,peak_pos,0.03911482865565281,0.007813484241122475
MFT,radio_presente,0.006322723573007657,0.005627518306998637
MFT,radio_rank,0.030453132770050323,0.00343308632982924
MFT,rank,0.03147664649922384,0.012303546221801015
MFT,rank_lag1,0.016480138400346764,0.00819852160585498
MFT,rank_lag2,0.031893965191955205,0.0028299462870506405
MFT,reentrada,0.011685287801716335,0.002496556305456541
MFT,semana_ano,0.029813308991250165,0.0024830339440548937
MFT,semanas_na_parada,0.023826039718829187,0.0034763409072600883
MFT,streaming_presente,0.0033290962421757904,0.00884528305650871
MFT,streaming_rank,0.016299289252350413,0.0007442446062445408
MFT,variacao_1s,0.04699104110097515,0.00437530221850186
MREC,album_presente,0.018711132694838463,0.00571557257275194
MREC,album_rank,0.04196859393211836,0.010688590261166905
MREC,digital_presente,0.0006973751446650208,0.0016335099991956431
MREC,digital_rank,0.008015977283493342,0.0017228576164737257
MREC,distancia_pico,0.026442029857818582,0.011098472149224964
MREC,estreia,0.0307577100488497,0.0070569845011472804
MREC,hiato_semanas,7.165264112582086e-05,0.00292642552104428
MREC,mes,0.010216920717638469,0.011589945136863105
MREC,peak_pos,0.04239748214086916,0.029329245198229343
MREC,radio_presente,0.01672886095471141,0.016548422505928015
MREC,radio_rank,0.031572024619725046,0.005835524717983984
MREC,rank,0.04124266657932243,0.017469175767614416
MREC,rank_lag1,0.012373033181192719,0.011478983291529242
MREC,rank_lag2,0.02724080355428989,0.005051482164714014
MREC,reentrada,0.013678352927446956,0.00244206687620929
MREC,semana_ano,0.026841529267714066,0.005207521755333816
MREC,semanas_na_parada,0.02691300765768816,0.01443848878622182
MREC,streaming_presente,0.0063613091158260734,0.005493782004251228
MREC,streaming_rank,0.02337195766346029,0.00662787558650947
MREC,variacao_1s,0.03893422903887085,0.020985889058979204
MRT,album_presente,0.018815291405933174,0.008647741000992231
MRT,album_rank,0.051759095761751917,0.0073189960748131465
MRT,digital_presente,0.0038059844704017285,0.00047616338910607976
MRT,digital_rank,0.009037345719831407,0.0017280548552293968
MRT,distancia_pico,0.022070167080046235,0.0034668998293727804
MRT,estreia,0.03172504023392365,0.006223958548887311
MRT,hiato_semanas,0.0030039173844546175,0.0020780632565805934
MRT,mes,0.0030926615252443493,0.0055381716773804605
MRT,peak_pos,0.03996746975856347,0.013353389821270262
MRT,radio_presente,0.008841732639169259,0.0013039169093991092
MRT,radio_rank,0.029939569949909314,0.0054919279352849395
MRT,rank,0.03264210530306045,0.009608531115437654
MRT,rank_lag1,0.01894409042181793,0.002402887981505533
MRT,rank_lag2,0.03570754384795475,0.009014594799234185
MRT,reentrada,0.012456472831852252,0.0021314351866174746
MRT,semana_ano,0.03286756786979648,0.008768887547280646
MRT,semanas_na_parada,0.023673776095332486,0.005145137783217716
MRT,streaming_presente,0.00785055016638444,0.004077819552738224
MRT,streaming_rank,0.013372027311675914,0.007844417720304859
MRT,variacao_1s,0.04421292406072027,0.00525926803924865
