modelo,seed,conjunto,mcc,f1,precision,recall,pr_auc,roc_auc,accuracy,tn,fp,fn,tp,tempo_inferencia_s
M0,42,D0,0.3554419606591937,0.541343718098983,0.6524790375501276,0.4625573431543581,0.6278812030890751,0.7662783121709803,0.7165654205607477,23510,3813,8318,7159,
M0,42,D1,0.2034660884711768,0.3658429594970024,0.5225563909774437,0.2814398200224972,0.4712565225373713,0.6898907139426639,0.6945774647887324,8612,1143,3194,1251,
M0,1337,D0,0.3632201881071809,0.5621496510071968,0.6384097256448168,0.5021645021645021,0.6270687560876838,0.7642562163030676,0.7171261682242991,22921,4402,7705,7772,
M0,1337,D1,0.2185590921062015,0.3941135248773651,0.5226765799256505,0.3163104611923509,0.4742991789233233,0.6815906468892823,0.6955633802816902,8471,1284,3039,1406,
M0,2024,D0,0.3725052201276631,0.5836685576757779,0.623750734861846,0.5484266976804291,0.6239827599669144,0.763121014378634,0.7170794392523364,22203,5120,6989,8488,
M0,2024,D1,0.2234788129358054,0.415653799919861,0.5115055884286653,0.3500562429696288,0.4744070105317773,0.6845486292685992,0.6919014084507042,8269,1486,2889,1556,
M0,42,D2,0.1646542234661301,0.3388370423546303,0.4924874791318864,0.2582622017947034,0.4442316166654146,0.644246690627649,0.6757042253521127,8415,1216,3389,1180,0.0046639000065624
M0,1337,D2,0.1615620930674565,0.3412416536439835,0.4862348178137652,0.2628583935215583,0.4352557556620273,0.6317521784761622,0.6734507042253521,8362,1269,3368,1201,0.0045064000005368
M0,2024,D2,0.1606421484030381,0.3608819153253077,0.4723796033994334,0.2919676077916393,0.4336574979213615,0.6319657270551915,0.6672535211267606,8141,1490,3235,1334,0.0044465000100899
