modelo,seed,atributo,mean,std
M0,42,album_presente,0.021817894870440148,0.004311861373040744
M0,42,album_rank,0.05361411331830527,0.007046493639876598
M0,42,digital_presente,0.004448584531330057,0.004122234209524866
M0,42,digital_rank,0.012018748469933036,0.004627355530945934
M0,42,distancia_pico,0.022059588733505827,0.004112730542967782
M0,42,estreia,0.014235038973390585,0.0023035445104392983
M0,42,hiato_semanas,-0.0002981913919032658,0.0017369449040265529
M0,42,mes,0.009430111640904713,0.0076993644408040966
M0,42,peak_pos,0.035615593130183046,0.004235226038017853
M0,42,radio_presente,0.011052881269309863,0.0034581773662508623
M0,42,radio_rank,0.02887527316528734,0.005662527476325835
M0,42,rank,0.038760733120738355,0.004864759611635115
M0,42,rank_lag1,0.0276698200730053,0.004368494276584059
M0,42,rank_lag2,0.03550825656928971,0.003814555396422555
M0,42,reentrada,0.01067786727183046,0.002005119361640647
M0,42,semana_ano,0.025380276094476146,0.005242098630396194
M0,42,semanas_na_parada,0.0219057487325956,0.008168764358938787
M0,42,streaming_presente,0.007930001050937852,0.003289627600631609
M0,42,streaming_rank,0.009793037920884382,0.004210120260996404
M0,42,variacao_1s,0.041957640780394045,0.005646863887938275
M0,1337,album_presente,0.007525506533889667,0.0035759352130999384
M0,1337,album_rank,0.027392166073227288,0.0059866124959197025
M0,1337,digital_presente,0.0020911302877790194,0.0031947284068572952
M0,1337,digital_rank,0.008730663587842132,0.003425525855966717
M0,1337,distancia_pico,0.013482771295715545,0.0030421837201386154
M0,1337,estreia,0.03801188676322554,0.0027405403278137454
M0,1337,hiato_semanas,0.003252294469256323,0.0009172763485037331
M0,1337,mes,0.011767056123812205,0.005268420318186203
M0,1337,peak_pos,0.022451408922124348,0.005060208309976716
M0,1337,radio_presente,0.003692363354586084,0.003992854609047625
M0,1337,radio_rank,0.030947822576846685,0.006676527026138755
M0,1337,rank,0.017926774409869922,0.0048534870341090984
M0,1337,rank_lag1,0.020778981355532897,0.006244965961106231
M0,1337,rank_lag2,0.03366114884624323,0.00629271960836701
M0,1337,reentrada,0.012354357560423843,0.0020655983265647363
M0,1337,semana_ano,0.022378520240628932,0.0032701292150027154
M0,1337,semanas_na_parada,0.02321108866168483,0.009006910051534225
M0,1337,streaming_presente,-0.005300077991343596,0.004698482071425277
M0,1337,streaming_rank,0.011021646326487769,0.0038463732402974856
M0,1337,variacao_1s,0.04605314474740081,0.005082805716057769
M0,2024,album_presente,0.017803260436180822,0.0044333208002787184
M0,2024,album_rank,0.05131896425483545,0.0033821689014137055
M0,2024,digital_presente,0.0036598335374415036,0.003576487811567382
M0,2024,digital_rank,0.01343769399306884,0.003547829465626043
M0,2024,distancia_pico,0.018969530114185847,0.005116040064132084
M0,2024,estreia,0.059759652520032035,0.00425673764750943
M0,2024,hiato_semanas,0.00091357336904071,0.0018913741009745232
M0,2024,mes,0.013208429345946618,0.004445639120344575
M0,2024,peak_pos,0.04114643594537556,0.004824157825835077
M0,2024,radio_presente,0.021299432016012816,0.004338790178268537
M0,2024,radio_rank,0.020475876302497177,0.006416508265778495
M0,2024,rank,0.03343750506909941,0.003578176556690339
M0,2024,rank_lag1,0.017810065689077524,0.004336484106254036
M0,2024,rank_lag2,0.03523675791299371,0.005185719644678095
M0,2024,reentrada,0.006688513725854922,0.0012437985526960668
M0,2024,semana_ano,0.01914073547336221,0.0031084334947136805
M0,2024,semanas_na_parada,0.023797711905016106,0.007577509721979889
M0,2024,streaming_presente,-0.00010641564982575568,0.0024705752828507142
M0,2024,streaming_rank,0.01613542042545297,0.004208035167917258
M0,2024,variacao_1s,0.05487697709626479,0.005774247570318799
MFT,42,album_presente,0.025350461232830235,0.0039134053968094065
MFT,42,album_rank,0.04691357322768201,0.005674070935479747
MFT,42,digital_presente,0.006680547607996049,0.004265373856837202
MFT,42,digital_rank,0.008255109330154031,0.00477378024818553
MFT,42,distancia_pico,0.015856208345151356,0.00600964889316284
MFT,42,estreia,0.02237557320024726,0.00395295534979186
MFT,42,hiato_semanas,0.002372294671145561,0.0009701741341952167
MFT,42,mes,0.011696258960436606,0.004479505717868582
MFT,42,peak_pos,0.041181576014129494,0.002767554008590983
MFT,42,radio_presente,4.4577592401975894e-05,0.002363303222881192
MFT,42,radio_rank,0.02741941710549259,0.0031757626477040106
MFT,42,rank,0.04366362293189737,0.004536959969621974
MFT,42,rank_lag1,0.024388246427290965,0.0037310180931167084
MFT,42,rank_lag2,0.03420695232356462,0.0028217113402368627
MFT,42,reentrada,0.010077480041253473,0.002039526809478599
MFT,42,semana_ano,0.02958571179925158,0.006106600172231597
MFT,42,semanas_na_parada,0.020113372780006137,0.006205215558896594
MFT,42,streaming_presente,0.011834405357558942,0.003479246539295586
MFT,42,streaming_rank,0.01711468912969672,0.003201691038999056
MFT,42,variacao_1s,0.042718938628380755,0.00714388459594426
MFT,1337,album_presente,0.0018946931219138625,0.003984732884454075
MFT,1337,album_rank,0.012000321200075473,0.0074686150926799415
MFT,1337,digital_presente,0.005552442676956207,0.0042280482022315925
MFT,1337,digital_rank,0.006373312740821774,0.0035182049591026957
MFT,1337,distancia_pico,0.015254832505163785,0.0026653399653350255
MFT,1337,estreia,0.024495868677811748,0.0038396184368196516
MFT,1337,hiato_semanas,0.0009077001709714538,0.0016491257007809304
MFT,1337,mes,0.01073463996964596,0.004672973166275941
MFT,1337,peak_pos,0.0304757365683059,0.004976464373463054
MFT,1337,radio_presente,0.008010030542128585,0.004793514725514343
MFT,1337,radio_rank,0.02976012438510626,0.0059194830055319505
MFT,1337,rank,0.019059753052784466,0.00533209107354488
MFT,1337,rank_lag1,0.017032982111175328,0.005193765070266666
MFT,1337,rank_lag2,0.028738430885107774,0.0037897401652877247
MFT,1337,reentrada,0.014561390765134843,0.0022897208301305774
MFT,1337,semana_ano,0.027451909169753486,0.004223544141841997
MFT,1337,semanas_na_parada,0.024360622737316793,0.006480555888438451
MFT,1337,streaming_presente,-0.005820886157165278,0.0026800236734289356
MFT,1337,streaming_rank,0.01565655247839008,0.005004370701227592
MFT,1337,variacao_1s,0.04679147146671843,0.0063983544631120255
MFT,2024,album_presente,0.013954607052358643,0.004826537393592362
MFT,2024,album_rank,0.035530780615576775,0.006103176516238989
MFT,2024,digital_presente,0.003744065618734535,0.003732684429630022
MFT,2024,digital_rank,0.009810746058135148,0.004119230670018903
MFT,2024,distancia_pico,0.01866218937023305,0.003665528828800594
MFT,2024,estreia,0.040953895033533305,0.005741041399165144
MFT,2024,hiato_semanas,0.002244450694001121,0.0016013524442826058
MFT,2024,mes,0.01862027199338164,0.006196047837428523
MFT,2024,peak_pos,0.04568717338452303,0.0033822887238434437
MFT,2024,radio_presente,0.01091356258449241,0.0032116107045036123
MFT,2024,radio_rank,0.034179856819552115,0.004332230192014133
MFT,2024,rank,0.03170656351298968,0.005281967614444112
MFT,2024,rank_lag1,0.008019186662574007,0.006899994357920774
MFT,2024,rank_lag2,0.03273651236719323,0.005164985206129272
MFT,2024,reentrada,0.01041699259876069,0.0015530292057305516
MFT,2024,semana_ano,0.03240230600474543,0.004823753900688761
MFT,2024,semanas_na_parada,0.02700412363916464,0.006374901793567961
MFT,2024,streaming_presente,0.003973769526133708,0.00237159136570539
MFT,2024,streaming_rank,0.01612662614896444,0.002713099141940366
MFT,2024,variacao_1s,0.05146271320782625,0.006948835026763233
MREC,42,album_presente,0.02266344346101221,0.005258365968637511
MREC,42,album_rank,0.04778355401271013,0.005124433694215793
MREC,42,digital_presente,0.002214847118228283,0.0040164683045767445
MREC,42,digital_rank,0.009521805030589938,0.004545697281992125
MREC,42,distancia_pico,0.014768361972514974,0.00526913498943711
MREC,42,estreia,0.02304309510865086,0.004267274908047266
MREC,42,hiato_semanas,-0.0005707491341716775,0.0008900304693014529
MREC,42,mes,0.023430885513093583,0.006840551972427076
