modelo,seed,atributo,repeticao,queda_mcc
M0,42,streaming_rank,5,0.005967407911224409
M0,42,streaming_rank,6,0.015242262547377788
M0,42,streaming_rank,7,0.01305600532456655
M0,42,streaming_rank,8,0.011091764113023511
M0,42,streaming_rank,9,0.00709862122057317
M0,42,streaming_rank,10,0.012271475334000359
M0,42,streaming_presente,1,0.0037500421249788973
M0,42,streaming_presente,2,0.0038033060312947786
M0,42,streaming_presente,3,0.012069019233803935
M0,42,streaming_presente,4,0.0058846879273441455
M0,42,streaming_presente,5,0.010256089058195694
M0,42,streaming_presente,6,0.005518874481529462
M0,42,streaming_presente,7,0.007184141793897092
M0,42,streaming_presente,8,0.012973813198952938
M0,42,streaming_presente,9,0.007844253812071683
M0,42,streaming_presente,10,0.01001578284730989
M0,42,digital_rank,1,0.019690955089631645
M0,42,digital_rank,2,0.011202403847308307
M0,42,digital_rank,3,0.006114388728191561
M0,42,digital_rank,4,0.005960744062208118
M0,42,digital_rank,5,0.007072608263581831
M0,42,digital_rank,6,0.01314708028426706
M0,42,digital_rank,7,0.017250686249783626
M0,42,digital_rank,8,0.011732955245475296
M0,42,digital_rank,9,0.014516029223318128
M0,42,digital_rank,10,0.013499633705564784
M0,42,digital_presente,1,0.007955675227737824
M0,42,digital_presente,2,0.003861507472992215
M0,42,digital_presente,3,0.002450867386590283
M0,42,digital_presente,4,0.0011749417778023907
M0,42,digital_presente,5,0.0037101374554308897
M0,42,digital_presente,6,-0.00435821741181025
M0,42,digital_presente,7,0.005195292852406497
M0,42,digital_presente,8,0.006261579009143758
M0,42,digital_presente,9,0.008967012151833431
M0,42,digital_presente,10,0.009267049391173537
M0,42,album_rank,1,0.05635737030302099
M0,42,album_rank,2,0.051207141268998946
M0,42,album_rank,3,0.040972446801422216
M0,42,album_rank,4,0.058551651181649844
M0,42,album_rank,5,0.05254280028982543
M0,42,album_rank,6,0.05457795199363176
M0,42,album_rank,7,0.06612295578426163
M0,42,album_rank,8,0.046342406238789005
M0,42,album_rank,9,0.050523847429853413
M0,42,album_rank,10,0.05894256189159941
M0,42,album_presente,1,0.019880939535080272
M0,42,album_presente,2,0.022417130192476153
M0,42,album_presente,3,0.019315438976330673
M0,42,album_presente,4,0.021891172919068447
M0,42,album_presente,5,0.02624300947508501
M0,42,album_presente,6,0.026830971747897114
M0,42,album_presente,7,0.015021135677356773
M0,42,album_presente,8,0.015934210023764772
M0,42,album_presente,9,0.023470384003650785
M0,42,album_presente,10,0.027174556153691465
M0,42,mes,1,0.016727770046654433
M0,42,mes,2,0.007411960840520482
M0,42,mes,3,0.009443182139314998
M0,42,mes,4,0.02116999364909028
M0,42,mes,5,0.009669082253970812
M0,42,mes,6,-0.002362394488421654
M0,42,mes,7,0.008036488127998842
M0,42,mes,8,0.011100757617354767
M0,42,mes,9,-0.0028804953585883364
M0,42,mes,10,0.015984771581152496
M0,42,semana_ano,1,0.026843176190404133
M0,42,semana_ano,2,0.033147143789552524
M0,42,semana_ano,3,0.021692839760294874
M0,42,semana_ano,4,0.018889789510224658
M0,42,semana_ano,5,0.02654723425997388
M0,42,semana_ano,6,0.025322564280398335
M0,42,semana_ano,7,0.0314123725631546
M0,42,semana_ano,8,0.029172069690601127
M0,42,semana_ano,9,0.024072180582891012
M0,42,semana_ano,10,0.01670339031726631
MRT,42,rank,1,0.031288498689880956
MRT,42,rank,2,0.03219729479880071
MRT,42,rank,3,0.0337526277511529
MRT,42,rank,4,0.036701328323275134
MRT,42,rank,5,0.03474199030681391
MRT,42,rank,6,0.03725767158393431
MRT,42,rank,7,0.03386294027439388
MRT,42,rank,8,0.034424196174891925
MRT,42,rank,9,0.029780651890558923
MRT,42,rank,10,0.03728034065960953
MRT,42,rank_lag1,1,0.028094377848672886
MRT,42,rank_lag1,2,0.01907085175286305
MRT,42,rank_lag1,3,0.01494392593354707
MRT,42,rank_lag1,4,0.02359778267546292
MRT,42,rank_lag1,5,0.02519083673914152
MRT,42,rank_lag1,6,0.02579269187861677
MRT,42,rank_lag1,7,0.01832298187556125
MRT,42,rank_lag1,8,0.022134509873360353
MRT,42,rank_lag1,9,0.0230640483533279
MRT,42,rank_lag1,10,0.01691589008998251
MRT,42,rank_lag2,1,0.03735909313917668
MRT,42,rank_lag2,2,0.03985751417754416
MRT,42,rank_lag2,3,0.040052957076763485
MRT,42,rank_lag2,4,0.055797941268765194
MRT,42,rank_lag2,5,0.0410723266303307
MRT,42,rank_lag2,6,0.03430228103299063
MRT,42,rank_lag2,7,0.0408109355830627
MRT,42,rank_lag2,8,0.03869103564806825
MRT,42,rank_lag2,9,0.0414383670706337
MRT,42,rank_lag2,10,0.045934706513502316
MRT,42,variacao_1s,1,0.05375605339287298
MRT,42,variacao_1s,2,0.056512467384473325
MRT,42,variacao_1s,3,0.05196213170918296
MRT,42,variacao_1s,4,0.04502778748382891
MRT,42,variacao_1s,5,0.042408103385611184
MRT,42,variacao_1s,6,0.05559214386676889
MRT,42,variacao_1s,7,0.059012359528438946
MRT,42,variacao_1s,8,0.050478199270009294
MRT,42,variacao_1s,9,0.04072111224212638
MRT,42,variacao_1s,10,0.04198098484243787
MRT,42,peak_pos,1,0.03466313592307391
MRT,42,peak_pos,2,0.036154776138500044
MRT,42,peak_pos,3,0.03487571015263796
MRT,42,peak_pos,4,0.04084004168314029
MRT,42,peak_pos,5,0.03698128729310543
MRT,42,peak_pos,6,0.031791773885918806
MRT,42,peak_pos,7,0.0380570311404565
MRT,42,peak_pos,8,0.025754376339597068
MRT,42,peak_pos,9,0.033013829240454345
MRT,42,peak_pos,10,0.04485010168688966
MRT,42,distancia_pico,1,0.0376471757750273
MRT,42,distancia_pico,2,0.026153185910641003
MRT,42,distancia_pico,3,0.036009914673107435
MRT,42,distancia_pico,4,0.018314112799075438
MRT,42,distancia_pico,5,0.02383703644738086
MRT,42,distancia_pico,6,0.029272230192019577
MRT,42,distancia_pico,7,0.01282143292707183
MRT,42,distancia_pico,8,0.021667164144929307
MRT,42,distancia_pico,9,0.02603515034878326
MRT,42,distancia_pico,10,0.028880135193138395
MRT,42,semanas_na_parada,1,0.02946083623509424
MRT,42,semanas_na_parada,2,0.030561025145807885
MRT,42,semanas_na_parada,3,0.01220255857833022
MRT,42,semanas_na_parada,4,0.013121072448507687
MRT,42,semanas_na_parada,5,0.024501821555846515
MRT,42,semanas_na_parada,6,0.03361300359972358
MRT,42,semanas_na_parada,7,0.02988516273135705
MRT,42,semanas_na_parada,8,0.021121846778163617
MRT,42,semanas_na_parada,9,0.024040054394868476
MRT,42,semanas_na_parada,10,0.02191456795174629
MRT,42,hiato_semanas,1,0.005334229048968325
MRT,42,hiato_semanas,2,0.004023510724296214
MRT,42,hiato_semanas,3,0.0049929987550714205
MRT,42,hiato_semanas,4,0.00448292008332124
MRT,42,hiato_semanas,5,0.00883783646114697
MRT,42,hiato_semanas,6,0.0060805907283141
MRT,42,hiato_semanas,7,0.0016417875954677918
MRT,42,hiato_semanas,8,0.005775148985396356
MRT,42,hiato_semanas,9,0.004619190443412691
MRT,42,hiato_semanas,10,0.0038878381905596004
MRT,42,estreia,1,0.03967024508990219
MRT,42,estreia,2,0.030034389719462984
MRT,42,estreia,3,0.04011009849348246
MRT,42,estreia,4,0.03015647476230157
MRT,42,estreia,5,0.02727114945977427
MRT,42,estreia,6,0.039013348613309795
MRT,42,estreia,7,0.023448081563189893
MRT,42,estreia,8,0.040083274776980066
MRT,42,estreia,9,0.030172733397595852
MRT,42,estreia,10,0.03957297345763036
MRT,42,reentrada,1,0.01413173329900233
MRT,42,reentrada,2,0.011648880664439226
MRT,42,reentrada,3,0.01597937870412
MRT,42,reentrada,4,0.017458418803823067
MRT,42,reentrada,5,0.013889910678805073
MRT,42,reentrada,6,0.013648154238927679
MRT,42,reentrada,7,0.014461233928429323
MRT,42,reentrada,8,0.017827228572878356
MRT,42,reentrada,9,0.01459443385933687
MRT,42,reentrada,10,0.014551496935899771
MRT,42,radio_rank,1,0.04016710719277647
MRT,42,radio_rank,2,0.03793498786769131
MRT,42,radio_rank,3,0.03338432932390825
MRT,42,radio_rank,4,0.023637181945243196
MRT,42,radio_rank,5,0.037678558028247155
MRT,42,radio_rank,6,0.039053944052339834
MRT,42,radio_rank,7,0.030155819535088946
MRT,42,radio_rank,8,0.0349700226362884
MRT,42,radio_rank,9,0.039566165355234495
MRT,42,radio_rank,10,0.032810184698071065
MRT,42,radio_presente,1,0.003058960095290608
MRT,42,radio_presente,2,0.0023874344476575993
MRT,42,radio_presente,3,0.009265340705766706
MRT,42,radio_presente,4,0.009020605241270907
MRT,42,radio_presente,5,0.007175536498691487
MRT,42,radio_presente,6,0.004879383357886069
MRT,42,radio_presente,7,0.01795580231144983
MRT,42,radio_presente,8,0.008846265190806085
MRT,42,radio_presente,9,0.011188149606868425
MRT,42,radio_presente,10,0.003938138606334851
MRT,42,streaming_rank,1,0.009059260923991397
MRT,42,streaming_rank,2,0.014555301514215163
MRT,42,streaming_rank,3,0.007117103725582968
MRT,42,streaming_rank,4,0.009422023198935453
MRT,42,streaming_rank,5,0.013814115459146126
MRT,42,streaming_rank,6,0.013814115459146126
MRT,42,streaming_rank,7,0.017993621861131154
MRT,42,streaming_rank,8,0.010901803120168696
MRT,42,streaming_rank,9,0.008675944376386913
MRT,42,streaming_rank,10,0.011301437121338076
MRT,42,streaming_presente,1,0.01276818268667948
MRT,42,streaming_presente,2,0.010023162299729577
MRT,42,streaming_presente,3,0.009471550410446117
MRT,42,streaming_presente,4,0.009588276101906101
MRT,42,streaming_presente,5,0.011417931879754456
MRT,42,streaming_presente,6,0.0059523519677633085
MRT,42,streaming_presente,7,0.013452622346345727
MRT,42,streaming_presente,8,0.009692987080063303
MRT,42,streaming_presente,9,0.014016016058738257
MRT,42,streaming_presente,10,0.018762017051418528
MRT,42,digital_rank,1,0.015539657842903037
MRT,42,digital_rank,2,0.01152523230825947
MRT,42,digital_rank,3,0.009532216483270711
MRT,42,digital_rank,4,0.006030916070178471
MRT,42,digital_rank,5,0.00348914862382807
MRT,42,digital_rank,6,0.017596473188078054
MRT,42,digital_rank,7,0.009946664584911058
MRT,42,digital_rank,8,0.011117773633940647
MRT,42,digital_rank,9,0.005529055849684716
MRT,42,digital_rank,10,0.010477288125734868
MRT,42,digital_presente,1,0.0002596410716589337
MRT,42,digital_presente,2,0.007461314832438004
MRT,42,digital_presente,3,0.003136511999171143
MRT,42,digital_presente,4,-0.001543992095487584
MRT,42,digital_presente,5,0.0013796805716732585
MRT,42,digital_presente,6,0.003628232960897426
MRT,42,digital_presente,7,0.002812122488560831
MRT,42,digital_presente,8,0.005167981469669486
MRT,42,digital_presente,9,0.0028288738986822215
MRT,42,digital_presente,10,0.0074347180110187205
MRT,42,album_rank,1,0.0440191729940958
MRT,42,album_rank,2,0.04261174985459709
MRT,42,album_rank,3,0.031341246308277365
MRT,42,album_rank,4,0.04935329566420388
MRT,42,album_rank,5,0.047372267131473716
MRT,42,album_rank,6,0.04909139989766517
MRT,42,album_rank,7,0.053034066126477014
MRT,42,album_rank,8,0.047084814773143385
MRT,42,album_rank,9,0.035850166499999864
MRT,42,album_rank,10,0.043974150664079364
MRT,42,album_presente,1,0.010353072181936818
MRT,42,album_presente,2,0.0094352403045673
MRT,42,album_presente,3,0.012011850471779911
MRT,42,album_presente,4,0.009268225449413248
MRT,42,album_presente,5,0.01453343931188189
MRT,42,album_presente,6,0.01598657751286381
MRT,42,album_presente,7,0.00851453794035692
MRT,42,album_presente,8,0.007935557822301958
MRT,42,album_presente,9,0.014286001210158661
MRT,42,album_presente,10,0.010187723930933257
MRT,42,mes,1,0.01934561057516121
MRT,42,mes,2,0.001468256444738164
MRT,42,mes,3,0.009582257630690427
MRT,42,mes,4,0.01342623251876568
MRT,42,mes,5,0.010576244281653407
MRT,42,mes,6,0.003856830064977279
MRT,42,mes,7,0.006618101680379296
MRT,42,mes,8,0.012308948213152204
MRT,42,mes,9,0.005722804413008736
MRT,42,mes,10,0.010168578588510002
MRT,42,semana_ano,1,0.023852763525942733
MRT,42,semana_ano,2,0.03432090867206203
MRT,42,semana_ano,3,0.021168952895779997
MRT,42,semana_ano,4,0.02697766963631809
MRT,42,semana_ano,5,0.029014676138813034
MRT,42,semana_ano,6,0.03284928036807527
MRT,42,semana_ano,7,0.03215728576131391
MRT,42,semana_ano,8,0.03580419234197099
MRT,42,semana_ano,9,0.028407262866989358
MRT,42,semana_ano,10,0.027237996734043313
MREC,42,rank,1,0.04380842399742155
MREC,42,rank,2,0.05083978605345656
MREC,42,rank,3,0.042288736519158654
MREC,42,rank,4,0.05066907849040514
MREC,42,rank,5,0.05540763734561416
MREC,42,rank,6,0.052247549084456724
MREC,42,rank,7,0.05924308209144112
MREC,42,rank,8,0.05468215321696862
MREC,42,rank,9,0.048985341561523815
MREC,42,rank,10,0.05466498564854595
MREC,42,rank_lag1,1,0.01948470061488075
MREC,42,rank_lag1,2,0.027786256250418806
MREC,42,rank_lag1,3,0.021021132645371116
MREC,42,rank_lag1,4,0.024081100253876747
MREC,42,rank_lag1,5,0.0218155839933456
MREC,42,rank_lag1,6,0.04262741612618012
MREC,42,rank_lag1,7,0.0257830874566988
MREC,42,rank_lag1,8,0.028110718596589368
MREC,42,rank_lag1,9,0.01902490118140643
MREC,42,rank_lag1,10,0.024197402791652944
MREC,42,rank_lag2,1,0.018868964570974256
MREC,42,rank_lag2,2,0.03182520566933075
MREC,42,rank_lag2,3,0.01979295043004778
MREC,42,rank_lag2,4,0.026133884558407344
MREC,42,rank_lag2,5,0.024503259692276153
MREC,42,rank_lag2,6,0.026220184874576113
MREC,42,rank_lag2,7,0.017383369163373824
MREC,42,rank_lag2,8,0.03474553334793409
MREC,42,rank_lag2,9,0.015711361043868416
MREC,42,rank_lag2,10,0.02683719914865826
MREC,42,variacao_1s,1,0.01888733944132409
MREC,42,variacao_1s,2,0.0345519628939725
MREC,42,variacao_1s,3,0.0176498899669347
MREC,42,variacao_1s,4,0.02424256287055307
MREC,42,variacao_1s,5,0.021852976416642966
MREC,42,variacao_1s,6,0.020255871592462865
MREC,42,variacao_1s,7,0.019844082646130856
MREC,42,variacao_1s,8,0.019844082646130856
MREC,42,variacao_1s,9,0.01567533997091658
MREC,42,variacao_1s,10,0.008780876761110334
MREC,42,peak_pos,1,0.005686678230041098
MREC,42,peak_pos,2,0.008276595821902932
MREC,42,peak_pos,3,0.010998398223604239
MREC,42,peak_pos,4,0.007312844676946262
MREC,42,peak_pos,5,0.01074055381865685
MREC,42,peak_pos,6,0.014246114216686173
MREC,42,peak_pos,7,0.016119096240694353
MREC,42,peak_pos,8,0.012032161901173455
MREC,42,peak_pos,9,0.011153658390951976
MREC,42,peak_pos,10,0.005753755396765647
MREC,42,distancia_pico,1,0.017721431277822858
MREC,42,distancia_pico,2,0.00856736896128757
MREC,42,distancia_pico,3,0.011824184949647182
MREC,42,distancia_pico,4,0.010962257233901679
MREC,42,distancia_pico,5,0.01353800958222115
MREC,42,distancia_pico,6,0.02594952711422227
MREC,42,distancia_pico,7,0.014004841563655446
MREC,42,distancia_pico,8,0.013882690025887046
MREC,42,distancia_pico,9,0.020627029143300918
MREC,42,distancia_pico,10,0.010606279873203617
MREC,42,semanas_na_parada,1,0.016915598807267396
MREC,42,semanas_na_parada,2,0.019736557211738365
MREC,42,semanas_na_parada,3,0.016000204870579487
MREC,42,semanas_na_parada,4,0.012952749987152123
MREC,42,semanas_na_parada,5,0.018487122285232138
MREC,42,semanas_na_parada,6,0.022615725473485948
MREC,42,semanas_na_parada,7,0.012343477213489329
MREC,42,semanas_na_parada,8,0.025548131813665054
MREC,42,semanas_na_parada,9,0.009841527557942736
MREC,42,semanas_na_parada,10,0.016873700551070958
MREC,42,hiato_semanas,1,-0.0020035953662300154
MREC,42,hiato_semanas,2,-0.001300305777650168
MREC,42,hiato_semanas,3,0.0011070618846715508
MREC,42,hiato_semanas,4,-0.0001814851831610509
MREC,42,hiato_semanas,5,0.00016538992398965058
MREC,42,hiato_semanas,6,-0.0010482967778459307
MREC,42,hiato_semanas,7,-0.0012163157079262965
MREC,42,hiato_semanas,8,-0.0001814851831610509
MREC,42,hiato_semanas,9,-0.0008669739712424129
MREC,42,hiato_semanas,10,-0.0001814851831610509
MREC,42,estreia,1,0.014765722330756764
MREC,42,estreia,2,0.01895476621841377
MREC,42,estreia,3,0.022505804245051136
MREC,42,estreia,4,0.026189381849359733
MREC,42,estreia,5,0.02840361960904139
MREC,42,estreia,6,0.024030291211406152
MREC,42,estreia,7,0.021785905317650206
MREC,42,estreia,8,0.028379720715141943
MREC,42,estreia,9,0.024766382753357907
MREC,42,estreia,10,0.020649356836329597
MREC,42,reentrada,1,0.016745416272674868
MREC,42,reentrada,2,0.01731947777574991
MREC,42,reentrada,3,0.01803887568011625
MREC,42,reentrada,4,0.014876742406564086
MREC,42,reentrada,5,0.016853495924199935
MREC,42,reentrada,6,0.019627000886007023
MREC,42,reentrada,7,0.010149782187619777
MREC,42,reentrada,8,0.0199786792601169
MREC,42,reentrada,9,0.016153740495533614
MREC,42,reentrada,10,0.014090722666137201
MREC,42,radio_rank,1,0.04537975917936539
MREC,42,radio_rank,2,0.039938072287765636
MREC,42,radio_rank,3,0.034097138562751594
MREC,42,radio_rank,4,0.03898942576234282
MREC,42,radio_rank,5,0.033380064324518066
MREC,42,radio_rank,6,0.044707543061928035
MREC,42,radio_rank,7,0.03555227891268137
MREC,42,radio_rank,8,0.03660178410539022
MREC,42,radio_rank,9,0.03808241453853789
MREC,42,radio_rank,10,0.034730280266971
MREC,42,radio_presente,1,-0.003492464429326242
MREC,42,radio_presente,2,-0.0035209500399668026
