modelo,seed,corte,grupo,n,positivos,mcc,f1,precision,recall,pr_auc,roc_auc,accuracy,tn,fp,fn,tp
GB,42,faixa_rank,1-10,1420,301,0.17592005218670942,0.26450116009280744,0.43846153846153846,0.1893687707641196,0.36266047958029296,0.6888967071335049,0.7767605633802817,1046,73,244,57
GB,42,faixa_rank,11-40,4260,1341,0.2010110757927891,0.4289195775792039,0.47100802854594115,0.39373601789709173,0.4727703267515062,0.6672308685490086,0.6699530516431925,2326,593,813,528
GB,42,faixa_rank,41-100,8520,2927,0.18165013266051858,0.47947402180885185,0.4517981263221517,0.5107618722241203,0.47549268200962486,0.6449936719303151,0.6190140845070422,3779,1814,1432,1495
GB,42,tempo_parada,1-4,4922,1261,0.3787236525591315,0.5596439169139465,0.447131341868184,0.7478191911181602,0.47884592632990114,0.7708264513472375,0.6984965461194637,2495,1166,318,943
GB,42,tempo_parada,5-12,4072,1537,0.14657083387195174,0.5041726618705036,0.4520123839009288,0.5699414443721535,0.4718512367827072,0.6145773099829454,0.5768664047151277,1473,1062,661,876
GB,42,tempo_parada,13+,5206,1771,0.1176495738848837,0.22854640980735552,0.5087719298245614,0.14737436476566912,0.46043082002120195,0.6020826398460726,0.6615443718786016,3183,252,1510,261
GB,42,trimestre,2023Q4,200,77,0.32759152153527116,0.5897435897435898,0.5822784810126582,0.5974025974025974,0.5882030938720069,0.6860943934114665,0.68,90,33,31,46
GB,42,trimestre,2024Q1,1300,424,0.15731255992208776,0.45266594124047876,0.4202020202020202,0.49056603773584906,0.47133482130434434,0.6427048332902559,0.6130769230769231,589,287,216,208
GB,42,trimestre,2024Q2,1300,382,0.22359662576534145,0.4438430311231394,0.45938375350140054,0.4293193717277487,0.4700995701300753,0.7111179550354174,0.6838461538461539,725,193,218,164
GB,42,trimestre,2024Q3,1300,374,0.12943327269166136,0.3954943679599499,0.37176470588235294,0.42245989304812837,0.38694585122855996,0.6327528557073723,0.6284615384615385,659,267,216,158
GB,42,trimestre,2024Q4,1300,404,0.24683420924326768,0.47388535031847134,0.4881889763779528,0.4603960396039604,0.46394026724731247,0.6656454428925036,0.6823076923076923,701,195,218,186
GB,42,trimestre,2025Q1,1300,418,0.13777681909437325,0.39011703511053314,0.42735042735042733,0.3588516746411483,0.4416011468658786,0.6019485944297974,0.6392307692307693,681,201,268,150
GB,42,trimestre,2025Q2,1300,427,0.24349639994664368,0.4836759371221282,0.5,0.468384074941452,0.4896066167197295,0.6851056010258308,0.6715384615384615,673,200,227,200
GB,42,trimestre,2025Q3,1300,428,0.19641120378402596,0.46490218642117376,0.4580498866213152,0.4719626168224299,0.47313354876919267,0.6555814863242734,0.6423076923076924,633,239,226,202
GB,42,trimestre,2025Q4,1400,492,0.33655069986234276,0.5836501901140685,0.5482142857142858,0.6239837398373984,0.5942593758299062,0.7346296246552774,0.6871428571428572,655,253,185,307
GB,42,trimestre,2026Q1,1200,352,0.13196320690415905,0.38873239436619716,0.3854748603351955,0.39204545454545453,0.38841900529816226,0.6098339676243567,0.6383333333333333,628,220,214,138
GB,42,trimestre,2026Q2,1300,447,0.1284758838243306,0.4024242424242424,0.43915343915343913,0.3713646532438479,0.4500443597894888,0.6614632918164867,0.6207692307692307,641,212,281,166
GB,42,trimestre,2026Q3,1000,344,0.1773299160961629,0.4565537555228277,0.4626865671641791,0.45058139534883723,0.4540161017820342,0.6495586358479863,0.631,476,180,189,155
GB,42,estreia,0,12238,4192,0.1798515391266631,0.45139829986448193,0.4667515923566879,0.43702290076335876,0.4721754277705305,0.6404051584116521,0.6361333551233862,5953,2093,2360,1832
GB,42,estreia,1,1962,377,0.34834329251014173,0.4901185770750988,0.3905511811023622,0.6578249336870027,0.4349673576803995,0.7737634822481989,0.7370030581039755,1198,387,129,248
GB,42,reentrada,0,13895,4455,0.19581276663886524,0.4515106936743239,0.45527156549520764,0.4478114478114478,0.46309697948793593,0.6603688247826667,0.6511694854264124,7053,2387,2460,1995
GB,42,reentrada,1,305,114,0.2538977079459493,0.5821917808219178,0.47752808988764045,0.7456140350877193,0.5606915425253554,0.6853357215027096,0.6,98,93,29,85
GB,42,radio_presente,0,8344,2449,0.2230299508384453,0.4675716440422323,0.4343257443082312,0.5063291139240507,0.44532150795022674,0.6797079765641477,0.6615532118887824,4280,1615,1209,1240
GB,42,radio_presente,1,5856,2120,0.17422648913043765,0.4392156862745098,0.49266862170087977,0.39622641509433965,0.4947678647268917,0.6381609581431053,0.6337090163934426,2871,865,1280,840
GB,42,streaming_presente,0,8232,2883,0.16347291679340303,0.47056883759274526,0.4484600879949717,0.49497051682275406,0.4721807932697815,0.629109716534423,0.6099368318756074,3594,1755,1456,1427
GB,42,streaming_presente,1,5968,1686,0.23289779081023393,0.4262402088772846,0.47387518142235124,0.38730723606168443,0.4625433139195729,0.6980652409628875,0.7054289544235925,3557,725,1033,653
GB,42,digital_presente,0,11735,3843,0.19445981576875762,0.4602272727272727,0.4568059471930274,0.4637002341920375,0.4659106518133125,0.6567752612387977,0.643800596506178,5773,2119,2061,1782
GB,42,digital_presente,1,2465,726,0.20895412129884255,0.43032490974729243,0.45220030349013657,0.41046831955922863,0.46434715793831904,0.6798035506932993,0.6799188640973631,1378,361,428,298
GB,42,album_presente,0,5870,2062,0.16506203821889306,0.4836716681376876,0.4437246963562753,0.5315227934044617,0.4713282719332025,0.6188811879019309,0.6013628620102215,2434,1374,966,1096
GB,42,album_presente,1,8330,2507,0.21431301332717106,0.4281052860561236,0.47081339712918663,0.3925009972078181,0.4646412609834117,0.6902269386744079,0.6843937575030012,4717,1106,1523,984
GB,1337,faixa_rank,1-10,1420,301,0.17592005218670942,0.26450116009280744,0.43846153846153846,0.1893687707641196,0.36266047958029296,0.6888967071335049,0.7767605633802817,1046,73,244,57
GB,1337,faixa_rank,11-40,4260,1341,0.2010110757927891,0.4289195775792039,0.47100802854594115,0.39373601789709173,0.4727703267515062,0.6672308685490086,0.6699530516431925,2326,593,813,528
GB,1337,faixa_rank,41-100,8520,2927,0.18165013266051858,0.47947402180885185,0.4517981263221517,0.5107618722241203,0.47549268200962486,0.6449936719303151,0.6190140845070422,3779,1814,1432,1495
GB,1337,tempo_parada,1-4,4922,1261,0.3787236525591315,0.5596439169139465,0.447131341868184,0.7478191911181602,0.47884592632990114,0.7708264513472375,0.6984965461194637,2495,1166,318,943
GB,1337,tempo_parada,5-12,4072,1537,0.14657083387195174,0.5041726618705036,0.4520123839009288,0.5699414443721535,0.4718512367827072,0.6145773099829454,0.5768664047151277,1473,1062,661,876
GB,1337,tempo_parada,13+,5206,1771,0.1176495738848837,0.22854640980735552,0.5087719298245614,0.14737436476566912,0.46043082002120195,0.6020826398460726,0.6615443718786016,3183,252,1510,261
GB,1337,trimestre,2023Q4,200,77,0.32759152153527116,0.5897435897435898,0.5822784810126582,0.5974025974025974,0.5882030938720069,0.6860943934114665,0.68,90,33,31,46
GB,1337,trimestre,2024Q1,1300,424,0.15731255992208776,0.45266594124047876,0.4202020202020202,0.49056603773584906,0.47133482130434434,0.6427048332902559,0.6130769230769231,589,287,216,208
GB,1337,trimestre,2024Q2,1300,382,0.22359662576534145,0.4438430311231394,0.45938375350140054,0.4293193717277487,0.4700995701300753,0.7111179550354174,0.6838461538461539,725,193,218,164
GB,1337,trimestre,2024Q3,1300,374,0.12943327269166136,0.3954943679599499,0.37176470588235294,0.42245989304812837,0.38694585122855996,0.6327528557073723,0.6284615384615385,659,267,216,158
GB,1337,trimestre,2024Q4,1300,404,0.24683420924326768,0.47388535031847134,0.4881889763779528,0.4603960396039604,0.46394026724731247,0.6656454428925036,0.6823076923076923,701,195,218,186
GB,1337,trimestre,2025Q1,1300,418,0.13777681909437325,0.39011703511053314,0.42735042735042733,0.3588516746411483,0.4416011468658786,0.6019485944297974,0.6392307692307693,681,201,268,150
GB,1337,trimestre,2025Q2,1300,427,0.24349639994664368,0.4836759371221282,0.5,0.468384074941452,0.4896066167197295,0.6851056010258308,0.6715384615384615,673,200,227,200
GB,1337,trimestre,2025Q3,1300,428,0.19641120378402596,0.46490218642117376,0.4580498866213152,0.4719626168224299,0.47313354876919267,0.6555814863242734,0.6423076923076924,633,239,226,202
GB,1337,trimestre,2025Q4,1400,492,0.33655069986234276,0.5836501901140685,0.5482142857142858,0.6239837398373984,0.5942593758299062,0.7346296246552774,0.6871428571428572,655,253,185,307
GB,1337,trimestre,2026Q1,1200,352,0.13196320690415905,0.38873239436619716,0.3854748603351955,0.39204545454545453,0.38841900529816226,0.6098339676243567,0.6383333333333333,628,220,214,138
GB,1337,trimestre,2026Q2,1300,447,0.1284758838243306,0.4024242424242424,0.43915343915343913,0.3713646532438479,0.4500443597894888,0.6614632918164867,0.6207692307692307,641,212,281,166
GB,1337,trimestre,2026Q3,1000,344,0.1773299160961629,0.4565537555228277,0.4626865671641791,0.45058139534883723,0.4540161017820342,0.6495586358479863,0.631,476,180,189,155
GB,1337,estreia,0,12238,4192,0.1798515391266631,0.45139829986448193,0.4667515923566879,0.43702290076335876,0.4721754277705305,0.6404051584116521,0.6361333551233862,5953,2093,2360,1832
GB,1337,estreia,1,1962,377,0.34834329251014173,0.4901185770750988,0.3905511811023622,0.6578249336870027,0.4349673576803995,0.7737634822481989,0.7370030581039755,1198,387,129,248
GB,1337,reentrada,0,13895,4455,0.19581276663886524,0.4515106936743239,0.45527156549520764,0.4478114478114478,0.46309697948793593,0.6603688247826667,0.6511694854264124,7053,2387,2460,1995
GB,1337,reentrada,1,305,114,0.2538977079459493,0.5821917808219178,0.47752808988764045,0.7456140350877193,0.5606915425253554,0.6853357215027096,0.6,98,93,29,85
