seed,avaliado_em,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
42,D0 (treino),0.3737095939778142,0.5825834140938668,0.6273574357062989,0.5437746333268721,0.7182242990654205,0.7655305481659748,0.6280621883683954
42,D1,0.22186252439287332,0.41636774279261324,0.5084360804672291,0.35253093363329585,0.6906338028169015,0.6844675194688312,0.4686179177173693
1337,D0 (treino),0.38120268310365496,0.5928088819475096,0.6246422438465942,0.564062802868773,0.7197897196261682,0.7650741340995192,0.6283903816747317
1337,D1,0.22437305764568619,0.4235448005232178,0.5059375,0.36422947131608546,0.6896478873239437,0.683199190055113,0.47353870425873906
2024,D0 (treino),0.37320805040177696,0.5769664505215675,0.6346228389797659,0.5289138721974543,0.7195327102803738,0.765181569322851,0.6265547717004811
2024,D1,0.21551479136464935,0.3992850268114946,0.5134370579915134,0.3266591676040495,0.6923239436619718,0.6809175070440644,0.4681737953711225
