familia,seeds,mcc_media,mcc_desvio_folds,f1_media,f1_desvio_folds,precision_media,precision_desvio_folds,recall_media,recall_desvio_folds,pr_auc_media,pr_auc_desvio_folds,roc_auc_media,roc_auc_desvio_folds,accuracy_media,accuracy_desvio_folds,tempo_treino_s_media,tempo_treino_s_desvio_folds,tempo_inferencia_s_media,tempo_inferencia_s_desvio_folds,mcc_treino_media,mcc_treino_desvio_folds,mcc_desvio_seeds
Gradient Boosting,3,0.35418170609941974,0.05405726062462023,0.5988614019451328,0.05079209172887184,0.549946644051929,0.041733038664522625,0.6575406615379891,0.06311425848343168,0.5774463848800991,0.05588868207417418,0.7400438645411136,0.02891864043039253,0.6916843365253078,0.016633301509462517,1.1169621750038154,0.3478541523561063,0.10148838333649716,0.011318752771077622,0.47852041686097013,0.0387425216013154,5.551115123125783e-17
MLP,3,0.3133697228902491,0.06035766188602555,0.5345379142528279,0.07296798791536994,0.5745802404140113,0.043009605904300134,0.5058531956105733,0.09682270804720298,0.5613975700076227,0.051885597335703526,0.7240146130759768,0.029080552258613116,0.6965712494300045,0.011445103760970054,6.846614366661621,2.110221407346047,0.007406649997089214,0.001027438344827299,0.4281011858690137,0.03186271358290446,0.007229879165794104
Logistica do zero,1,0.29493847216088753,0.044291335902060275,0.5660194034061022,0.049254664652445636,0.5118814672928601,0.036414412171812856,0.6348437937424612,0.07278947086530434,0.5331160280205447,0.045245603822073446,0.6971460297723668,0.02902775275783899,0.6596210670314637,0.011536592526131475,3.4993383249966428,1.4200650223601596,0.0036110000000917353,0.00029335810931640117,0.3336063451779663,0.018333324079397743,0.0
