fold,inicio_validacao,implementacao,iteracoes,convergiu,tempo_treino_s,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
1,2014-08-27,NumPy (do zero),5851,True,2.8381290449979133,0.36308301946934624,0.6386794905120874,0.5686183753760704,0.7284316632078268,0.6767441860465117,0.7395964679960281,0.6012235538392818
1,2014-08-27,scikit-learn,62,True,0.032701758998882724,0.36308301946934624,0.6386794905120874,0.5686183753760704,0.7284316632078268,0.6767441860465117,0.739596297838012,0.6011320770485162
2,2016-04-20,NumPy (do zero),873,True,0.8499079339999298,0.30223089568530825,0.5829858215179317,0.5105916727538349,0.6793002915451894,0.6511627906976745,0.7080117960134397,0.5462608526233337
2,2016-04-20,scikit-learn,48,True,0.04752197400011937,0.30223089568530825,0.5829858215179317,0.5105916727538349,0.6793002915451894,0.6511627906976745,0.7080110909038453,0.5462581740888535
3,2017-12-13,NumPy (do zero),1060,True,4.066538392999064,0.2567941556405401,0.5255799173816333,0.47122507122507123,0.5941091954022989,0.6487058823529411,0.6730513712265631,0.485996406560842
3,2017-12-13,scikit-learn,42,True,1.0119992690015351,0.2567941556405401,0.5255799173816333,0.47122507122507123,0.5941091954022989,0.6487058823529411,0.6730533821175486,0.4859992281937576
4,2019-07-31,NumPy (do zero),1247,True,4.296739476998482,0.2557722306449484,0.5161722808781632,0.49517684887459806,0.5390269513475674,0.6603529411764706,0.6678614278046882,0.499051976425148
4,2019-07-31,scikit-learn,47,True,0.8819026630008011,0.2557722306449484,0.5161722808781632,0.49517684887459806,0.5390269513475674,0.6603529411764706,0.6678641569859813,0.49905403248044783
