config,fold,inicio_validacao,taxa_aprendizado,class_weight,l2,iteracoes,convergiu,custo_final,tempo_treino_s,mcc,f1,precision,recall,accuracy,roc_auc,pr_auc
lr_0.2_sem_balanceamento,1,2014-08-27,0.2,nenhum,0.0,6000,False,0.5951085213230688,4.040084200009005,0.3427856716221667,0.56568676299618,0.6431268882175226,0.5048917877260599,0.6959302325581396,0.7411587454612477,0.6107798814943094
lr_0.2_sem_balanceamento,2,2016-04-20,0.2,nenhum,0.0,3676,True,0.5906508153319666,6.4262999999918975,0.30220287928609946,0.5210326773785882,0.5884991843393148,0.467444120505345,0.6915116279069767,0.7097640521144151,0.5497511736464249
lr_0.2_sem_balanceamento,3,2017-12-13,0.2,nenhum,0.0,4403,True,0.5913061524988801,11.902991599985398,0.23860422960679042,0.4428660956757886,0.5292061907139292,0.3807471264367816,0.686235294117647,0.6741694266145444,0.48773192692706174
lr_0.2_sem_balanceamento,4,2019-07-31,0.2,nenhum,0.0,5218,True,0.59261995723451,18.54044369998155,0.23214829907396825,0.4017171260732038,0.5666029318036966,0.3111655582779139,0.6884705882352942,0.6675320652440561,0.4993168457300689
lr_0.5_sem_balanceamento,1,2014-08-27,0.5,nenhum,0.0,6000,False,0.5950950719082418,5.441434200009098,0.34385667881097676,0.5664951021085838,0.6437735849056604,0.5057812036762526,0.6963953488372093,0.7407384551614626,0.6063711679437064
lr_0.5_sem_balanceamento,2,2016-04-20,0.5,nenhum,0.0,1598,True,0.5906508132267917,2.833174700004747,0.30220287928609946,0.5210326773785882,0.5884991843393148,0.467444120505345,0.6915116279069767,0.7097629356908908,0.5497499000068318
lr_0.5_sem_balanceamento,3,2017-12-13,0.5,nenhum,0.0,1930,True,0.5913061497216343,5.409421200020006,0.23860422960679042,0.4428660956757886,0.5292061907139292,0.3807471264367816,0.686235294117647,0.6741685468497381,0.48772816409488895
lr_0.5_sem_balanceamento,4,2019-07-31,0.5,nenhum,0.0,2304,True,0.5926199536730613,8.24594380002236,0.23214829907396825,0.4017171260732038,0.5666029318036966,0.3111655582779139,0.6884705882352942,0.6675324994319891,0.4993139034659603
lr_1_sem_balanceamento,1,2014-08-27,1.0,nenhum,0.0,5851,True,0.5950943781233999,5.373085799976252,0.34349891766246443,0.566738517658763,0.6429646350639578,0.5066706196264453,0.6961627906976744,0.7406443010592167,0.6051985176546424
lr_1_sem_balanceamento,2,2016-04-20,1.0,nenhum,0.0,846,True,0.5906508125343276,1.499235299997963,0.30220287928609946,0.5210326773785882,0.5884991843393148,0.467444120505345,0.6915116279069767,0.7097633470048207,0.5497477993728418
