,count,mean,std,min,25%,50%,75%,max
rank,14200.0,50.5,28.867086512326118,1.0,25.75,50.5,75.25,100.0
rank_lag1,14200.0,54.20838028169014,32.028587838940396,1.0,26.0,53.5,83.0,101.0
rank_lag2,14200.0,57.41260563380282,33.74903706617383,1.0,27.0,57.0,94.0,101.0
variacao_1s,14200.0,3.708380281690141,22.74945122427037,-81.0,-6.0,0.0,6.0,100.0
peak_pos,14200.0,32.85316901408451,27.780442774226067,1.0,8.0,25.0,54.0,100.0
distancia_pico,14200.0,17.646830985915493,20.787506367357082,0.0,0.0,10.0,28.0,98.0
semanas_na_parada,14200.0,11.498098591549295,11.606326150989707,1.0,3.0,8.0,16.0,91.0
hiato_semanas,14200.0,0.028028169014084506,0.23299928631333255,0.0,0.0,0.0,0.0,3.0
estreia,14200.0,0.13880281690140844,0.345752821513536,0.0,0.0,0.0,0.0,1.0
reentrada,14200.0,0.01683098591549296,0.12864240841158228,0.0,0.0,0.0,0.0,1.0
radio_rank,14200.0,38.95535211267605,16.265188458953823,1.0,26.0,51.0,51.0,51.0
radio_presente,14200.0,0.451830985915493,0.4976918620453615,0.0,0.0,0.0,1.0,1.0
streaming_rank,14200.0,38.78781690140845,16.416860977099994,1.0,26.0,51.0,51.0,51.0
streaming_presente,14200.0,0.45359154929577467,0.4978591275593343,0.0,0.0,0.0,1.0,1.0
digital_rank,14200.0,42.848098591549295,15.01098348648393,1.0,42.0,51.0,51.0,51.0
digital_presente,14200.0,0.2852112676056338,0.4515309050264895,0.0,0.0,0.0,1.0,1.0
album_rank,14200.0,127.19098591549296,87.3602376182222,1.0,19.0,201.0,201.0,201.0
album_presente,14200.0,0.45838028169014083,0.4982823335489206,0.0,0.0,0.0,1.0,1.0
mes,14200.0,6.788732394366197,3.2455465777629295,1.0,4.0,7.0,10.0,12.0
semana_ano,14200.0,27.570422535211268,14.152787708435746,1.0,16.0,28.0,40.0,52.0
alvo,14200.0,0.31302816901408453,0.4637420395590004,0.0,0.0,0.0,1.0,1.0
