,rank,rank_lag1,rank_lag2,variacao_1s,peak_pos,distancia_pico,semanas_na_parada,hiato_semanas,estreia,reentrada,radio_rank,radio_presente,streaming_rank,streaming_presente,digital_rank,digital_presente,album_rank,album_presente,mes,semana_ano
rank,1.0,0.8586733718347677,0.7902146313666342,-0.03369353840880982,0.8331523907418721,0.1474408274434418,-0.467870950430625,0.1520413832760372,0.22460842305922019,0.07715488553468632,0.660212090549465,-0.554886255060822,0.730103172309064,-0.666218530546383,0.6528788960833123,-0.5946493611652235,0.13191424061683,-0.10373854114774411,0.0,0.0
rank_lag1,0.8586733718347677,1.0,0.900453486919146,0.3621902903969197,0.8278073169538365,-0.12387899108728753,-0.6182678246845024,0.13034079639805815,0.524094021136837,0.16401870335214655,0.6801871832362311,-0.5788778120572621,0.62082659514535,-0.5694926469893492,0.5293288484781611,-0.4900332751740945,0.10863798742840976,-0.09326773357765936,-0.0017760830982736743,-0.002426795229633517
rank_lag2,0.7902146313666342,0.900453486919146,1.0,0.3278421387893495,0.8070232702886944,-0.1893001683365759,-0.7118240095710981,0.12481457950692526,0.48583904994926913,0.1520465561459101,0.6823685446213111,-0.5829136557734701,0.5587175023443306,-0.5124608788257535,0.46897712642183254,-0.4361463085805509,0.09637669139156145,-0.0884181192546319,-0.0037431102973822326,-0.0036398288456150583
variacao_1s,-0.03369353840880982,0.3621902903969197,0.3278421387893495,1.0,0.2696638524636559,-0.6966345421390499,-0.3949932477733831,0.0018165493899621507,0.4467610565290909,0.13612681944793414,0.09792004741022547,-0.0898945578599544,-0.0006594790279654243,-0.014614357250617683,-0.12277793753603877,0.10430047327045841,0.016000237053586656,-0.022611503729533158,-0.02656539595159194,-0.02648250648192302
peak_pos,0.8331523907418721,0.8278073169538365,0.8070232702886944,0.2696638524636559,1.0,-0.3403161064697827,-0.613576582466229,0.11496299010683556,0.31226232535947596,0.05421705453562529,0.5554402528855775,-0.4558489118548716,0.6546273533956257,-0.6083533968886753,0.4831921955888526,-0.43408439171964985,0.17632213719788015,-0.13287438293882795,-0.017302538463524086,-0.01749215221108871
distancia_pico,0.1474408274434418,-0.12387899108728753,-0.1893001683365759,-0.6966345421390499,-0.3403161064697827,1.0,0.40783729524507956,0.0341738934205013,-0.3247989405741911,0.03169454763815249,0.07885478009711346,-0.055941334091252,0.07739321697604166,-0.0271184656567864,0.2631300374060328,-0.22121151836428204,-0.07219171585336773,0.060724496628836666,0.02193472195521722,0.022204257047747766
semanas_na_parada,-0.467870950430625,-0.6182678246845024,-0.7118240095710981,-0.3949932477733831,-0.613576582466229,0.40783729524507956,1.0,-0.08371325393728239,-0.5244516087367294,-0.16413061276554142,-0.5335301546738438,0.49521005786166755,-0.23452177868088275,0.23974076697365432,-0.13608357066253618,0.15127271223974367,-0.07720590253719424,0.10270761143464148,-0.014144380332594266,-0.013578041160996325
hiato_semanas,0.1520413832760372,0.13034079639805815,0.12481457950692526,0.0018165493899621507,0.11496299010683556,0.0341738934205013,-0.08371325393728239,1.0,-0.04091990443906736,-0.012806155759668966,0.0924692708867742,-0.09353146495755578,0.08582614131578918,-0.08807771292789153,0.07705952147295342,-0.07686927645662199,0.017170498409813828,-0.017808586548995742,-0.005219988593309022,-0.006334332424731575
estreia,0.22460842305922019,0.524094021136837,0.48583904994926913,0.4467610565290909,0.31226232535947596,-0.3247989405741911,-0.5244516087367294,-0.04091990443906736,1.0,0.31295663895643355,0.2813209275971647,-0.2911945930780232,0.07730285552952346,-0.07750765409006576,0.027713823716772876,-0.0440629880570413,-0.029873385030873226,-0.007699262002471351,0.011944204353110686,0.010856872629146447
reentrada,0.07715488553468632,0.16401870335214655,0.1520465561459101,0.13612681944793414,0.05421705453562529,0.03169454763815249,-0.16413061276554142,-0.012806155759668966,0.31295663895643355,1.0,0.07809211051465254,-0.07538029277254098,0.03453940445590592,-0.03043593810485041,0.03915941402055097,-0.03975657859877971,-0.024279043636136317,0.017349118942906396,0.0026913806838552157,0.0020317846479230538
radio_rank,0.660212090549465,0.6801871832362311,0.6823685446213111,0.09792004741022547,0.5554402528855775,0.07885478009711346,-0.5335301546738438,0.0924692708867742,0.2813209275971647,0.07809211051465254,1.0,-0.9307340300679809,0.27220102122765066,-0.22756934568985618,0.4614554588123965,-0.4173461214401138,0.07900122242344372,-0.09805202079307529,-0.0013956217105111953,-0.0013206032525711947
radio_presente,-0.554886255060822,-0.5788778120572621,-0.5829136557734701,-0.0898945578599544,-0.4558489118548716,-0.055941334091252,0.49521005786166755,-0.09353146495755578,-0.2911945930780232,-0.07538029277254098,-0.9307340300679809,1.0,-0.17360225182744057,0.14325072234874767,-0.35708458270323284,0.337364433852062,-0.046753754467120094,0.07959942255858908,0.0007597065978448958,0.0007153661245384623
streaming_rank,0.730103172309064,0.62082659514535,0.5587175023443306,-0.0006594790279654243,0.6546273533956257,0.07739321697604166,-0.23452177868088275,0.08582614131578918,0.07730285552952346,0.03453940445590592,0.27220102122765066,-0.17360225182744057,1.0,-0.9485777223835358,0.3979653207508808,-0.3303469102063962,0.09845754903780976,-0.030815682129125565,-0.015615002582714595,-0.016310709774019164
streaming_presente,-0.666218530546383,-0.5694926469893492,-0.5124608788257535,-0.014614357250617683,-0.6083533968886753,-0.0271184656567864,0.23974076697365432,-0.08807771292789153,-0.07750765409006576,-0.03043593810485041,-0.22756934568985618,0.14325072234874767,-0.9485777223835358,1.0,-0.32459685814928557,0.27471256656914766,-0.10732306638762801,0.04125747023053427,0.018382236614091912,0.019260654136129523
digital_rank,0.6528788960833123,0.5293288484781611,0.46897712642183254,-0.12277793753603877,0.4831921955888526,0.2631300374060328,-0.13608357066253618,0.07705952147295342,0.027713823716772876,0.03915941402055097,0.4614554588123965,-0.35708458270323284,0.3979653207508808,-0.32459685814928557,1.0,-0.9508463561686648,0.09542002578218085,-0.08877748649279332,0.002413638062707052,0.003260980632224288
digital_presente,-0.5946493611652235,-0.4900332751740945,-0.4361463085805509,0.10430047327045841,-0.43408439171964985,-0.22121151836428204,0.15127271223974367,-0.07686927645662199,-0.0440629880570413,-0.03975657859877971,-0.4173461214401138,0.337364433852062,-0.3303469102063962,0.27471256656914766,-0.9508463561686648,1.0,-0.08999391826288312,0.0905872644013842,-0.0040885230027917,-0.004975978275939364
album_rank,0.13191424061683,0.10863798742840976,0.09637669139156145,0.016000237053586656,0.17632213719788015,-0.07219171585336773,-0.07720590253719424,0.017170498409813828,-0.029873385030873226,-0.024279043636136317,0.07900122242344372,-0.046753754467120094,0.09845754903780976,-0.10732306638762801,0.09542002578218085,-0.08999391826288312,1.0,-0.9410280444105837,0.036641681201119464,0.03686388995526533
album_presente,-0.10373854114774411,-0.09326773357765936,-0.0884181192546319,-0.022611503729533158,-0.13287438293882795,0.060724496628836666,0.10270761143464148,-0.017808586548995742,-0.007699262002471351,0.017349118942906396,-0.09805202079307529,0.07959942255858908,-0.030815682129125565,0.04125747023053427,-0.08877748649279332,0.0905872644013842,-0.9410280444105837,1.0,-0.03516854574618483,-0.035383512100815126
mes,0.0,-0.0017760830982736743,-0.0037431102973822326,-0.02656539595159194,-0.017302538463524086,0.02193472195521722,-0.014144380332594266,-0.005219988593309022,0.011944204353110686,0.0026913806838552157,-0.0013956217105111953,0.0007597065978448958,-0.015615002582714595,0.018382236614091912,0.002413638062707052,-0.0040885230027917,0.036641681201119464,-0.03516854574618483,1.0,0.9837246097879486
semana_ano,0.0,-0.002426795229633517,-0.0036398288456150583,-0.02648250648192302,-0.01749215221108871,0.022204257047747766,-0.013578041160996325,-0.006334332424731575,0.010856872629146447,0.0020317846479230538,-0.0013206032525711947,0.0007153661245384623,-0.016310709774019164,0.019260654136129523,0.003260980632224288,-0.004975978275939364,0.03686388995526533,-0.035383512100815126,0.9837246097879486,1.0
