conjunto,linhas,semanas,inicio,fim,proporcao_alvo,ausentes,duplicatas
D0,42800,428,2013-01-02,2021-03-10,0.36161214953271026,0,0
D1,14200,142,2021-03-24,2023-12-06,0.31302816901408453,0,0
