,rank,rank_lag1,rank_lag2,variacao_1s,peak_pos,distancia_pico,semanas_na_parada,hiato_semanas,estreia,reentrada,radio_rank,radio_presente,streaming_rank,streaming_presente,digital_rank,digital_presente,album_rank,album_presente,mes,semana_ano
rank,1.0,0.7206716619544078,0.625653325481332,-0.17164849600174376,0.7375500269891753,0.2979633454286523,-0.34697405048878704,0.16603731701036648,0.09784539936293601,0.02680716809704645,0.512038940778246,-0.4042632003991026,0.7447091010746385,-0.677146621677466,0.46276464901553865,-0.4497901740269262,0.16372686194637115,-0.17186580359914408,0.0,0.0
rank_lag1,0.7206716619544078,1.0,0.8108547653380399,0.42145811420408985,0.718408995838039,-0.115272374136497,-0.5653552745136953,0.12469454155164779,0.5996631067695544,0.1954340255579821,0.5554531504191647,-0.45727449624487193,0.45754748767415665,-0.42480748399198226,0.3409702529170457,-0.3400089265264406,0.09940550946455728,-0.13003162714747868,0.004317454277188295,0.0036417606158882137
rank_lag2,0.625653325481332,0.8108547653380399,1.0,0.3044919635778263,0.6799459960217298,-0.16091946890043735,-0.6861720444928752,0.09988893989483183,0.5441447517292549,0.17734024007177132,0.5844341136515954,-0.49102501672926097,0.3405680711097697,-0.316746707561376,0.29024051751316543,-0.29125759232608606,0.06090411996224881,-0.10053413659107714,0.011269657369961545,0.011007442827730984
variacao_1s,-0.17164849600174376,0.42145811420408985,0.3044919635778263,1.0,0.20016237997190886,-0.6486364990079602,-0.2743268243819636,-0.0029952722909119636,0.5466369754104038,0.18041228380894073,0.04705625536010364,-0.04335324157328495,-0.17795457734844342,0.15111125864439165,-0.11618247085107572,0.10537604210110604,-0.004350961472934316,-0.0051716577493945695,-0.04731985558949032,-0.047945097344268946
peak_pos,0.7375500269891753,0.718408995838039,0.6799459960217298,0.20016237997190886,1.0,-0.3237050176187985,-0.4643229180024174,0.10792021935937887,0.2809503136256678,0.0030978615263794296,0.4095906007257675,-0.30463332197678944,0.5442871257211903,-0.4950431540693749,0.298535502602483,-0.28465503966630346,0.23885512133136788,-0.22561434613941025,-0.06079562078904767,-0.061504637550126265
distancia_pico,0.2979633454286523,-0.115272374136497,-0.16091946890043735,-0.6486364990079602,-0.3237050176187985,1.0,0.2919372005321295,0.04883950694237277,-0.4241822224213039,0.04288838625005379,0.10158222469805378,-0.07315464366067193,0.28601862938671213,-0.2264679257885525,0.26511622337936924,-0.25056657572204744,-0.05422828617662627,0.04393738211055679,0.0763312578819892,0.07725174407955455
semanas_na_parada,-0.34697405048878704,-0.5653552745136953,-0.6861720444928752,-0.2743268243819636,-0.4643229180024174,0.2919372005321295,1.0,-0.04032676235910376,-0.6001348825612808,-0.19558778029309426,-0.5860428050550188,0.5450559593674094,0.014400316099824607,0.0055240022284647255,-0.10948589047391087,0.13122645346627343,0.037984841914306684,0.026257295095044448,-0.0542357116461744,-0.05372552820413535
hiato_semanas,0.16603731701036648,0.12469454155164779,0.09988893989483183,-0.0029952722909119636,0.10792021935937887,0.04883950694237277,-0.04032676235910376,1.0,-0.05363236711715352,-0.017479130010805963,0.07213421381188578,-0.06402611147448355,0.09910896622432522,-0.10111121922916683,0.04915116223207728,-0.049967894041846726,0.03816547846434141,-0.03890195788282842,-0.012503922192316608,-0.01330774665447735
estreia,0.09784539936293601,0.5996631067695544,0.5441447517292549,0.5466369754104038,0.2809503136256678,-0.4241822224213039,-0.6001348825612808,-0.05363236711715352,1.0,0.32590636867891515,0.30707906599522816,-0.3137339255842384,-0.0913932330576096,0.08508890444065294,0.016538366777699313,-0.031646480797090114,-0.0989634916011225,0.03741762132462007,0.03484942793654559,0.03395949598742084
reentrada,0.02680716809704645,0.1954340255579821,0.17734024007177132,0.18041228380894073,0.0030978615263794296,0.04288838625005379,-0.19558778029309426,-0.017479130010805963,0.32590636867891515,1.0,0.07737270520953629,-0.07038715288190939,-0.018030036526397814,0.031440566581435736,0.02595509028502736,-0.03051237685685884,-0.011387196561731688,0.019169295611424303,0.043708981357669145,0.04451450454771871
