,D0,D1
estreia,0.10182242990654206,0.13880281690140844
reentrada,0.010981308411214953,0.01683098591549296
radio_presente,0.48735981308411214,0.451830985915493
streaming_presente,0.4346728971962617,0.45359154929577467
digital_presente,0.42705607476635515,0.2852112676056338
album_presente,0.4583878504672897,0.45838028169014083
